scenario file,app,applications,throughput (flits/cycle),delay avg (cycles),delay var (cycles),a,b,type,fire rate,overlap
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-49,7,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],1.0250111,399838.23775,21000409685.083,False,False,compact,0.01,22
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-49,8,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],0.7045476,914228.0,86880085000.0,False,False,compact,0.01,22
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-49,9,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],1.4531732,214626.12389,7553037008.485,False,False,compact,0.01,22
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-59,0,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],0.9595205,183.57042,18650.962,False,False,compact,0.01,33
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-59,1,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],0.6293834,109.42388,8898.408,False,False,compact,0.01,33
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-59,2,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],0.38213010000000003,410568.3,27009300000.0,False,False,compact,0.01,33
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-59,3,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],0.8215426,224204.50418000002,8060349099.04,False,False,compact,0.01,33
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-59,4,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],0.4956556,223999.5,8040670000.0,False,False,compact,0.01,33
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-59,5,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],0.8705255,625081.49,33420547000.0,False,False,compact,0.01,33
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-59,6,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],0.9605116,175.22326,15436.422999999999,False,False,compact,0.01,33
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-59,7,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],1.1174825,263287.70777,8711579380.992,False,False,compact,0.01,33
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-59,8,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],0.7068308,881448.6000000001,83450190000.0,False,False,compact,0.01,33
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-59,9,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],1.4484105,222453.58415,7938091447.854,False,False,compact,0.01,33
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-69,0,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],0.9584474,174.99095,15735.642,False,False,compact,0.01,45
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-69,1,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],0.6342612999999999,120.59588,11077.427,False,False,compact,0.01,45
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-69,2,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],0.3565806,448003.8,33071370000.0,False,False,compact,0.01,45
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-69,3,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],0.8206446,224394.4933,8263150999.357,False,False,compact,0.01,45
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-69,4,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],0.5004315,226314.7,8393180000.0,False,False,compact,0.01,45
compact-0-1-2-3-4-5-6-7-8-9-prob-0.01-iter-69,5,['0'  '1'  '2'  '3'  '4'  '5'  '6'  '7'  '8'  '9'],0.8059649,744004.2,51128016000.0,False,False,compact,0.01,45
