year,watts,transistors,specint,frequency,cores
2004.80769231,115.478198469,273841.963426,18938.4202733,2641.64832039,2
2004.80769231,115.478198469,273841.963426,18938.4202733,1910.95297497,2
2004.80769231,115.478198469,273841.963426,16548.1709994,2641.64832039,2
2004.80769231,115.478198469,273841.963426,16548.1709994,1910.95297497,2
2004.80769231,115.478198469,273841.963426,21096.9051341,2641.64832039,2
2004.80769231,115.478198469,273841.963426,21096.9051341,1910.95297497,2
2004.85576923,100.903504484,NA,NA,3651.74127255,1
2005.72115385,128.639694494,232909.659246,NA,3190.84898063,2
2005.81730769,85.8210354325,112403.866377,NA,NA,1
2005.96153846,72.9930061435,305052.789027,NA,1207.90074743,8
2006.05769231,24.8045441431,115478.198469,NA,NA,2
2006.875,128.639694494,378551.524926,18938.4202733,3651.74127255,NA
2006.875,128.639694494,378551.524926,18938.4202733,2641.64832039,NA
2006.875,128.639694494,155383.983127,18938.4202733,3651.74127255,NA
2006.875,128.639694494,155383.983127,18938.4202733,2641.64832039,NA
2006.92307692,65.5248823737,245824.406892,21096.9051341,NA,NA
2006.92307692,125.214968907,245824.406892,21096.9051341,NA,NA
2006.97115385,74.9894209332,296931.48482,35226.9465147,NA,NA
2006.97115385,74.9894209332,582941.534714,35226.9465147,NA,NA
2007.06730769,31.6227766017,151247.254531,23501.4008461,2308.24152676,2
2007.64423077,132.158088956,582941.534714,NA,2942.72717621,4
2007.78846154,100.903504484,805842.187761,31622.7766017,NA,NA
2007.88461538,31.6227766017,NA,NA,NA,2
2007.98076923,85.8210354325,509367.521678,NA,1420.18116969,8
2008.17307692,77.0404392011,NA,20535.2502646,2016.91455473,4
2008.17307692,77.0404392011,NA,20535.2502646,2308.24152676,4
2008.22115385,95.6023901095,445079.406236,NA,NA,NA
2008.46153846,65.5248823737,410469.838044,NA,3023.21302502,2
2009.18269231,95.6023901095,457252.669897,NA,2502.86543117,3
2009.27884615,132.158088956,784388.558145,NA,3278.12115139,NA
2009.47115385,125.214968907,NA,NA,NA,4
2009.56730769,95.6023901095,NA,NA,NA,NA
2009.66346154,132.158088956,2308241.52676,NA,2641.64832039,NA
2010.38461538,168.485487944,1309747.2643,NA,NA,NA
2011.16,130,1170000,46000.7,3470,12
2011.32,130,2600000,39000.4,2400,20
2011.9,95,1200000,33000.6,3000,8
2012.4,140,2400000,31000.8,3100,16
2012.41,130,2300000,59000,2900,16
2012.7,200,2100000,NA,3700,32
2012.9,115,1200000,33000.7,2500,16
2013.4,300,5000000,NA,1200,240
2013.8,130,4300000,59000.6,2700,24
2014.16,155,4300000,59000.9,2800,30
2014.5,200,4200000,NA,3700,64
2014.8,135,2600000,66000.4,3200,16
2014.81,135,3800000,65000.4,2600,24
2014.82,140,5700000,66000.1,2300,36
2016.33,145,7200000,73900.2,2200,44
2016.5,245,NA,NA,1500,272
2017.5,180,19200000,NA,2200,64
2017.58,140,NA,77900.2,2100,44
2017.59,205,NA,83600.3,2500,56
2018.4,190,8000000,NA,3400,88
2018.5,250,21100000,NA,1200,80
2019.3,205,8000000,90900.2,2700,56
2019.8,225,39500000,78300.4,2250,128
1996.82692308,NA,9646.61619911,NA,509.367521678,NA
1999.13461538,NA,9389.79801048,NA,296.93148482,NA
2002.78846154,NA,38197.1754928,NA,1810.55824303,NA
2007.74038462,NA,232909.659246,NA,4655.52593116,9
2007.74038462,NA,232909.659246,NA,4655.52593116,2
2007.74038462,NA,232909.659246,NA,4067.94432108,9
2007.74038462,NA,232909.659246,NA,4067.94432108,2
2007.83653846,NA,115478.198469,14074.6466334,2016.91455473,NA
2009.71153846,NA,1910952.97497,NA,3278.12115139,8
2009.71153846,NA,1910952.97497,NA,3278.12115139,6
2010.19230769,NA,410469.838044,NA,2308.24152676,16
2016.67,NA,8000000,NA,4000,96
1990.625,NA,NA,55.7306040127,NA,NA
1994.75961538,NA,NA,349.115193717,NA,NA
1994.75961538,NA,NA,598.885433492,NA,NA
1997.59615385,NA,NA,827.882590628,NA,NA
1999.51923077,NA,NA,1860.07840181,NA,1
2001.77884615,NA,NA,6264.33536657,1420.18116969,1
2005.76923077,NA,NA,17000.7761882,NA,NA
2005.86538462,NA,NA,21096.9051341,2788.12666541,NA
2009.3,NA,NA,36600,NA,NA
2009.5,NA,NA,21100,NA,NA
2009.7,NA,NA,37700,NA,NA
2010.3,NA,NA,42000,NA,NA
2010.5,NA,NA,25800,NA,NA
1972.25961538,NA,NA,NA,0.509367521678,1
1996.10576923,NA,NA,NA,198.095677855,1
1998.84615385,NA,NA,NA,495.806824168,1
2003.60576923,NA,NA,NA,1810.55824303,NA
2006.00961538,NA,NA,NA,2246.79009181,NA
2007.01923077,NA,NA,NA,2713.89943121,NA
2009.42307692,NA,NA,NA,2641.64832039,NA
1974.27884615,NA,NA,NA,NA,1
1979.61538462,NA,NA,NA,NA,1
1992.35576923,NA,NA,NA,NA,1
1992.98076923,NA,NA,NA,NA,1
1995.76923077,NA,NA,NA,NA,1
1996.49038462,NA,NA,NA,NA,1
1997.25961538,NA,NA,NA,NA,1
1997.69230769,NA,NA,NA,NA,1
2001.63461538,NA,NA,NA,NA,1
2002.35576923,NA,NA,NA,NA,1
2002.74038462,NA,NA,NA,NA,1
2002.93269231,NA,NA,NA,NA,1
2003.31730769,NA,NA,NA,NA,1
2003.70192308,NA,NA,NA,NA,1
2006.82692308,NA,NA,NA,NA,2
2009.23076923,NA,NA,NA,NA,4
2009.61538462,NA,NA,NA,NA,3
