name,principal_component_1
a0e9127cd8c6e7d0cac1fbb58f01927db6180e53.cl-A,-0.233438647
5e49162449d4f4e1587d3a910d17959fe48d9f04.cl-A,-0.05170263
441cbbeeaac524b7d11b7f781ca02216733a1913.cl-A,-0.203569935
61c923142fbd4081a1eb7a912473c0427fd087a8.cl-A,-0.110803301
6c16fab88ae63d9aa159fb48c61666a30335565e.cl-A,-0.102143985
9806d6445f63727afc25b472b7d72d76ad869651.cl-A,-0.092853904
69066b45847d263d471592222d4343883f185f20.cl-A,-0.096632758
6f82aa170d5f3075f601b64f7f544bccbf0dcc36.cl-A,-0.160080435
72334e943a6b0dbec332cb6ae5c17eb050f6aa06.cl-A,-0.146478568
20a63ff8b6efbc77383b015dc784aba9d57b909a.cl-A,-0.103254014
074c7e3dba512a4c47220c4bdfec5a24e7652935.cl-A,-0.092250058
4f05a0102808e94e09e4a8c66ea4065435556cfb.cl-A,-0.240854454
6e31c07dcd158a36ba9fc360bd5f66028dee2d2d.cl-A,-0.117065502
607530fde84158f048c277f64d25ed1163700aa8.cl-A,-0.106722411
7230b5bd4f52c08a5feaa84d24c11a1f28b2dc6b.cl-A,-0.061406287
9d8da27805f88d796c26f5bd704b7ca1cc8016ae.cl-A,-0.036631511
52bb59d02496f756b099a957542d37fb118dfdcf.cl-A,-0.118263034
178cf959e9b991458fabb1edbd28cbf5666900c3.cl-A,-0.102143985
894286ea7f16be0c14b9f45ab019ccfcaff92196.cl-A,-0.276339733
76e8b04f732a5cce625bedae1ce46148e487c571.cl-A,-0.092930114
8795c71b39b3cf6b8d6e80e2ebbb3facc52c2d27.cl-A,-0.240854454
a3d237754e9aae13dfe5b2317d2f7cfac64f7367.cl-A,-0.103254014
535d9f6e5eaad60d927ee449fca8366049b568d5.cl-A,-0.087290598
31f9fde1ad9e917407905e0c176e3db3a1f97ef6.cl-A,-0.098051419
80057d6827eb5f49ae6270746e5c9a24bdbb4711.cl-A,0.045872382
11927e307f998eba97bdde3c160a62f38432c714.cl-A,-0.102321808
91ccd90f388f39ef07d922948509fb2ffa77cda0.cl-A,-0.091003108
10ceb7769657ac3a1c0d95031b5377a6d5539286.cl-A,-0.173631682
18dc0a172f6d9a81398646257304cb2a625487f4.cl-A,-0.379590326
42aff4d60404e9d48ef47b869dc5196d292e3cf3.cl-A,-0.086247891
69787192d131373cd2ac88d0be5f6e80a8975736.cl-A,-0.158272582
