ue	rb	rxAnt	layer	carrier	Start	FFT	ChanEqlz	IDFT	QamDemod	Decode	ChanEst	ChanInv	est	matrixInv	inv	eqlz	demod
11	75	1	2	2	1	28	11	132	132	11	11	11	3550	0	142	20448	61344
11	75	1	2	3	1	42	11	132	132	11	11	11	5450	0	218	31392	94176
11	75	1	2	4	1	56	11	132	132	11	11	11	7350	0	294	42336	127008
11	75	1	3	1	1	14	11	132	132	11	11	11	1650	0	66	9504	28512
11	75	1	3	2	1	28	11	132	132	11	11	11	3550	0	142	20448	61344
11	75	1	3	3	1	42	11	132	132	11	11	11	5450	0	218	31392	94176
11	75	1	3	4	1	56	11	132	132	11	11	11	7350	0	294	42336	127008
11	75	1	4	1	1	14	11	132	132	11	11	11	1650	0	66	9504	28512
11	75	1	4	2	1	28	11	132	132	11	11	11	3550	0	142	20448	61344
11	75	1	4	3	1	42	11	132	132	11	11	11	5450	0	218	31392	94176
11	75	1	4	4	1	56	11	132	132	11	11	11	7350	0	294	42336	127008
11	75	2	1	1	1	28	11	132	132	11	11	11	3300	0	66	19008	28512
11	75	2	1	2	1	56	11	132	132	11	11	11	7100	0	142	40896	61344
11	75	2	1	3	1	84	11	132	132	11	11	11	10900	0	218	62784	94176
11	75	2	1	4	1	112	11	132	132	11	11	11	14700	0	294	84672	127008
11	75	2	2	1	1	28	11	264	264	11	11	11	6600	264	528	38016	57024
11	75	2	2	2	1	56	11	264	264	11	11	11	14200	568	1136	81792	122688
11	75	2	2	3	1	84	11	264	264	11	11	11	21800	872	1744	125568	188352
11	75	2	2	4	1	112	11	264	264	11	11	11	29400	1176	2352	169344	254016
11	75	2	3	1	1	28	11	264	264	11	11	11	6600	264	528	38016	57024
11	75	2	3	2	1	56	11	264	264	11	11	11	14200	568	1136	81792	122688
11	75	2	3	3	1	84	11	264	264	11	11	11	21800	872	1744	125568	188352
11	75	2	3	4	1	112	11	264	264	11	11	11	29400	1176	2352	169344	254016
11	75	2	4	1	1	28	11	264	264	11	11	11	6600	264	528	38016	57024
11	75	2	4	2	1	56	11	264	264	11	11	11	14200	568	1136	81792	122688
11	75	2	4	3	1	84	11	264	264	11	11	11	21800	872	1744	125568	188352
11	75	2	4	4	1	112	11	264	264	11	11	11	29400	1176	2352	169344	254016
11	75	3	1	1	1	42	11	132	132	11	11	11	4950	0	66	28512	28512
11	75	3	1	2	1	84	11	132	132	11	11	11	10650	0	142	61344	61344
11	75	3	1	3	1	126	11	132	132	11	11	11	16350	0	218	94176	94176
11	75	3	1	4	1	168	11	132	132	11	11	11	22050	0	294	127008	127008
11	75	3	2	1	1	42	11	264	264	11	11	11	9900	264	726	57024	57024
11	75	3	2	2	1	84	11	264	264	11	11	11	21300	568	1562	122688	122688
11	75	3	2	3	1	126	11	264	264	11	11	11	32700	872	2398	188352	188352
11	75	3	2	4	1	168	11	264	264	11	11	11	44100	1176	3234	254016	254016
11	75	3	3	1	1	42	11	396	396	11	11	11	14850	990	1980	85536	85536
11	75	3	3	2	1	84	11	396	396	11	11	11	31950	2130	4260	184032	184032
11	75	3	3	3	1	126	11	396	396	11	11	11	49050	3270	6540	282528	282528
11	75	3	3	4	1	168	11	396	396	11	11	11	66150	4410	8820	381024	381024
11	75	3	4	1	1	42	11	396	396	11	11	11	14850	990	1980	85536	85536
11	75	3	4	2	1	84	11	396	396	11	11	11	31950	2130	4260	184032	184032
11	75	3	4	3	1	126	11	396	396	11	11	11	49050	3270	6540	282528	282528
11	75	3	4	4	1	168	11	396	396	11	11	11	66150	4410	8820	381024	381024
11	75	4	1	1	1	56	11	132	132	11	11	11	6600	0	66	38016	28512
11	75	4	1	2	1	112	11	132	132	11	11	11	14200	0	142	81792	61344
11	75	4	1	3	1	168	11	132	132	11	11	11	21800	0	218	125568	94176
11	75	4	1	4	1	224	11	132	132	11	11	11	29400	0	294	169344	127008
11	75	4	2	1	1	56	11	264	264	11	11	11	13200	264	924	76032	57024
11	75	4	2	2	1	112	11	264	264	11	11	11	28400	568	1988	163584	122688
11	75	4	2	3	1	168	11	264	264	11	11	11	43600	872	3052	251136	188352
11	75	4	2	4	1	224	11	264	264	11	11	11	58800	1176	4116	338688	254016
11	75	4	3	1	1	56	11	396	396	11	11	11	19800	990	2574	114048	85536
11	75	4	3	2	1	112	11	396	396	11	11	11	42600	2130	5538	245376	184032
11	75	4	3	3	1	168	11	396	396	11	11	11	65400	3270	8502	376704	282528
11	75	4	3	4	1	224	11	396	396	11	11	11	88200	4410	11466	508032	381024
11	75	4	4	1	1	56	11	528	528	11	11	11	26400	2376	5016	152064	114048
11	75	4	4	2	1	112	11	528	528	11	11	11	56800	5112	10792	327168	245376
11	75	4	4	3	1	168	11	528	528	11	11	11	87200	7848	16568	502272	376704
11	75	4	4	4	1	224	11	528	528	11	11	11	117600	10584	22344	677376	508032
12	100	1	1	1	1	14	12	144	144	12	12	12	2400	0	96	13824	41472
12	100	1	1	2	1	28	12	144	144	12	12	12	4950	0	198	28512	85536
12	100	1	1	3	1	42	12	144	144	12	12	12	7400	0	296	42624	127872
12	100	1	1	4	1	56	12	144	144	12	12	12	9900	0	396	57024	171072
12	100	1	2	1	1	14	12	144	144	12	12	12	2400	0	96	13824	41472
12	100	1	2	2	1	28	12	144	144	12	12	12	4950	0	198	28512	85536
12	100	1	2	3	1	42	12	144	144	12	12	12	7400	0	296	42624	127872
12	100	1	2	4	1	56	12	144	144	12	12	12	9900	0	396	57024	171072
12	100	1	3	1	1	14	12	144	144	12	12	12	2400	0	96	13824	41472
12	100	1	3	2	1	28	12	144	144	12	12	12	4950	0	198	28512	85536
12	100	1	3	3	1	42	12	144	144	12	12	12	7400	0	296	42624	127872
12	100	1	3	4	1	56	12	144	144	12	12	12	9900	0	396	57024	171072
12	100	1	4	1	1	14	12	144	144	12	12	12	2400	0	96	13824	41472
12	100	1	4	2	1	28	12	144	144	12	12	12	4950	0	198	28512	85536
12	100	1	4	3	1	42	12	144	144	12	12	12	7400	0	296	42624	127872
12	100	1	4	4	1	56	12	144	144	12	12	12	9900	0	396	57024	171072
12	100	2	1	1	1	28	12	144	144	12	12	12	4800	0	96	27648	41472
12	100	2	1	2	1	56	12	144	144	12	12	12	9900	0	198	57024	85536
12	100	2	1	3	1	84	12	144	144	12	12	12	14800	0	296	85248	127872
12	100	2	1	4	1	112	12	144	144	12	12	12	19800	0	396	114048	171072
12	100	2	2	1	1	28	12	288	288	12	12	12	9600	384	768	55296	82944
12	100	2	2	2	1	56	12	288	288	12	12	12	19800	792	1584	114048	171072
12	100	2	2	3	1	84	12	288	288	12	12	12	29600	1184	2368	170496	255744
12	100	2	2	4	1	112	12	288	288	12	12	12	39600	1584	3168	228096	342144
12	100	2	3	1	1	28	12	288	288	12	12	12	9600	384	768	55296	82944
12	100	2	3	2	1	56	12	288	288	12	12	12	19800	792	1584	114048	171072
12	100	2	3	3	1	84	12	288	288	12	12	12	29600	1184	2368	170496	255744
12	100	2	3	4	1	112	12	288	288	12	12	12	39600	1584	3168	228096	342144
12	100	2	4	1	1	28	12	288	288	12	12	12	9600	384	768	55296	82944
12	100	2	4	2	1	56	12	288	288	12	12	12	19800	792	1584	114048	171072
12	100	2	4	3	1	84	12	288	288	12	12	12	29600	1184	2368	170496	255744
12	100	2	4	4	1	112	12	288	288	12	12	12	39600	1584	3168	228096	342144
12	100	3	1	1	1	42	12	144	144	12	12	12	7200	0	96	41472	41472
12	100	3	1	2	1	84	12	144	144	12	12	12	14850	0	198	85536	85536
12	100	3	1	3	1	126	12	144	144	12	12	12	22200	0	296	127872	127872
12	100	3	1	4	1	168	12	144	144	12	12	12	29700	0	396	171072	171072
12	100	3	2	1	1	42	12	288	288	12	12	12	14400	384	1056	82944	82944
12	100	3	2	2	1	84	12	288	288	12	12	12	29700	792	2178	171072	171072
12	100	3	2	3	1	126	12	288	288	12	12	12	44400	1184	3256	255744	255744
12	100	3	2	4	1	168	12	288	288	12	12	12	59400	1584	4356	342144	342144
12	100	3	3	1	1	42	12	432	432	12	12	12	21600	1440	2880	124416	124416
12	100	3	3	2	1	84	12	432	432	12	12	12	44550	2970	5940	256608	256608
12	100	3	3	3	1	126	12	432	432	12	12	12	66600	4440	8880	383616	383616
12	100	3	3	4	1	168	12	432	432	12	12	12	89100	5940	11880	513216	513216
12	100	3	4	1	1	42	12	432	432	12	12	12	21600	1440	2880	124416	124416
12	100	3	4	2	1	84	12	432	432	12	12	12	44550	2970	5940	256608	256608
12	100	3	4	3	1	126	12	432	432	12	12	12	66600	4440	8880	383616	383616
12	100	3	4	4	1	168	12	432	432	12	12	12	89100	5940	11880	513216	513216
12	100	4	1	1	1	56	12	144	144	12	12	12	9600	0	96	55296	41472
12	100	4	1	2	1	112	12	144	144	12	12	12	19800	0	198	114048	85536
12	100	4	1	3	1	168	12	144	144	12	12	12	29600	0	296	170496	127872
12	100	4	1	4	1	224	12	144	144	12	12	12	39600	0	396	228096	171072
12	100	4	2	1	1	56	12	288	288	12	12	12	19200	384	1344	110592	82944
12	100	4	2	2	1	112	12	288	288	12	12	12	39600	792	2772	228096	171072
12	100	4	2	3	1	168	12	288	288	12	12	12	59200	1184	4144	340992	255744
12	100	4	2	4	1	224	12	288	288	12	12	12	79200	1584	5544	456192	342144
12	100	4	3	1	1	56	12	432	432	12	12	12	28800	1440	3744	165888	124416
12	100	4	3	2	1	112	12	432	432	12	12	12	59400	2970	7722	342144	256608
12	100	4	3	3	1	168	12	432	432	12	12	12	88800	4440	11544	511488	383616
12	100	4	3	4	1	224	12	432	432	12	12	12	118800	5940	15444	684288	513216
12	100	4	4	1	1	56	12	576	576	12	12	12	38400	3456	7296	221184	165888
12	100	4	4	2	1	112	12	576	576	12	12	12	79200	7128	15048	456192	342144
12	100	4	4	3	1	168	12	576	576	12	12	12	118400	10656	22496	681984	511488
12	100	4	4	4	1	224	12	576	576	12	12	12	158400	14256	30096	912384	684288
12	75	1	1	1	1	14	12	144	144	12	12	12	1800	0	72	10368	31104
12	75	1	1	2	1	28	12	144	144	12	12	12	3625	0	145	20880	62640
12	75	1	1	3	1	42	12	144	144	12	12	12	5500	0	220	31680	95040
12	75	1	1	4	1	56	12	144	144	12	12	12	7400	0	296	42624	127872
