mappings_evaluated,kpn,tgff.file,representation,tgff.directory,kpn.name,trace,time_representation,mapper.record_statistics,time_simulating,representation_init_time,processes_in_task,mapper.random_seed,platform,mappings_cached,mapper,best_mapping_time,log_level
63,tgff_reader,auto-indust-mocsyn.tgff,Symmetries,../../../tgff/e3s-0.9,TASK_GRAPH_1,tgff_reader,0.4015831270016861,True,0.08433028000035847,0.19067277945578098,4,4,mppa_coolidge,364,tabu_search,803.335383833,ERROR
,tgff_reader,office-automation-mocsyn.tgff,Symmetries,../../../tgff/e3s-0.9,TASK_GRAPH_1,tgff_reader,,True,,,,2,multi_cluster,,simulated_annealing,,ERROR
103,tgff_reader,telecom-mocsyn.tgff,Symmetries,../../../tgff/e3s-0.9,TASK_GRAPH_1,tgff_reader,0.49549501999717904,True,0.1908734979806468,0.18833942711353302,6,8,mppa_coolidge,164,genetic,410.866588332,ERROR
,tgff_reader,networking-mocsyn.tgff,Symmetries,../../../tgff/e3s-0.9,TASK_GRAPH_5,tgff_reader,,True,,,,2,haec,,tabu_search,,ERROR
38,tgff_reader,consumer-mocsyn.tgff,Symmetries,../../../tgff/e3s-0.9,TASK_GRAPH_0,tgff_reader,0.008057558003201848,True,0.056693337002798216,0.00040571950376033783,7,8,multi_cluster,1,simulated_annealing,3070.2675505,ERROR
,tgff_reader,office-automation-mocsyn.tgff,SimpleVector,../../../tgff/e3s-0.9,TASK_GRAPH_6,tgff_reader,,True,,,,9,multi_cluster,,random_walk,,ERROR
,tgff_reader,consumer-mocsyn.tgff,SimpleVector,../../../tgff/e3s-0.9,TASK_GRAPH_7,tgff_reader,,True,,,,4,haec,,genetic,,ERROR
,tgff_reader,networking-mocsyn.tgff,Symmetries,../../../tgff/e3s-0.9,TASK_GRAPH_5,tgff_reader,,True,,,,9,mppa_coolidge,,simulated_annealing,,ERROR
,tgff_reader,consumer-mocsyn.tgff,SimpleVector,../../../tgff/e3s-0.9,TASK_GRAPH_6,tgff_reader,,True,,,,4,mppa_coolidge,,genetic,,ERROR
195,tgff_reader,telecom-mocsyn.tgff,SimpleVector,../../../tgff/e3s-0.9,TASK_GRAPH_4,tgff_reader,0.18675187101689517,True,0.1993652090059186,0.00010041147470474243,3,5,haec,178,simulated_annealing,0.138266683,ERROR
