x,y,runtime,representation,representation.target_distortion,representation.extra_dimensions
-2.29554963686965,1.0188869250537937,11608.265182333,MetricSpaceEmbedding,1.3,True
-2.356602114296223,1.0557423547396565,5626.939562,MetricSpaceEmbedding,1.3,True
-2.2894148577633895,1.1091549114872647,7908.792543833,MetricSpaceEmbedding,1.3,True
-2.356975447247685,1.0556382998404241,5930.351459833,MetricSpaceEmbedding,1.3,True
-2.4133734404369784,1.0995470731388597,7908.792543833,MetricSpaceEmbedding,1.3,True
-2.413670140031162,1.0994507124763329,7908.792543833,MetricSpaceEmbedding,1.3,True
-2.310424208118302,1.0237774235226826,8305.4592105,MetricSpaceEmbedding,1.3,True
-2.393010268665348,1.083168529451263,7908.792543833,MetricSpaceEmbedding,1.3,True
-2.4003621057399425,1.069909192777584,7804.926282,MetricSpaceEmbedding,1.3,True
-2.3801203218433518,1.0540184456480328,8304.699844,MetricSpaceEmbedding,1.3,True
-1.818328496766573,0.4757802844877752,7809.625877166,MetricSpaceEmbedding,1.3,True
-2.4000286154930697,1.0702681896220465,8305.15559,MetricSpaceEmbedding,1.3,True
-2.421885296133015,1.0012873207249569,5527.773237333,MetricSpaceEmbedding,1.3,True
-2.267140616348991,1.0257826808381272,5627.773737333,MetricSpaceEmbedding,1.3,True
-2.400388775429282,1.070488202416847,5826.940406,MetricSpaceEmbedding,1.3,True
-2.369819639035967,1.084882354771723,5626.939904,MetricSpaceEmbedding,1.3,True
-2.400355111048233,1.0703649667181745,8305.4592105,MetricSpaceEmbedding,1.3,True
-2.3804492483314617,1.053676500093581,5826.940406,MetricSpaceEmbedding,1.3,True
-2.413357169552284,1.0993899871176096,7908.792543833,MetricSpaceEmbedding,1.3,True
-2.2952012459233906,1.0191774925960266,9449.143676,MetricSpaceEmbedding,1.3,True
-2.400579628199146,1.0702905952098143,8317.5203405,MetricSpaceEmbedding,1.3,True
-2.336295103852197,1.0391732463605088,5930.351459833,MetricSpaceEmbedding,1.3,True
-2.168162590032009,1.0774914809018485,7162.538925663,MetricSpaceEmbedding,1.3,True
-2.3190866689062117,0.9843171562290116,8206.292543833,MetricSpaceEmbedding,1.3,True
-2.289378937844812,1.1089409796910321,7908.792543833,MetricSpaceEmbedding,1.3,True
-2.3303876513461037,1.0404298265650622,7908.091032333,MetricSpaceEmbedding,1.3,True
-2.3020323115546946,1.1382884109617748,7607.648498,MetricSpaceEmbedding,1.3,True
-2.4001487690035774,1.0702940922746724,8305.15559,MetricSpaceEmbedding,1.3,True
-2.380108300482143,1.0535154107704794,7913.226866833,MetricSpaceEmbedding,1.3,True
-2.3801209904458753,1.0541101324125453,8305.4592105,MetricSpaceEmbedding,1.3,True
-2.400624358659121,1.070091620557507,11525.3488065,MetricSpaceEmbedding,1.3,True
-2.4000627277456545,1.070327266473386,8305.4592105,MetricSpaceEmbedding,1.3,True
-2.4006065473115243,1.0701677837959094,8305.4592105,MetricSpaceEmbedding,1.3,True
-2.40890420959361,0.9719365387484867,8858.479347163,MetricSpaceEmbedding,1.3,True
-2.2953900200186674,1.0186835000292584,7908.792543833,MetricSpaceEmbedding,1.3,True
-2.4004147620251985,1.0701973136594998,8344.9059325,MetricSpaceEmbedding,1.3,True
-2.3039787539620034,0.9205871234232736,5527.773237333,MetricSpaceEmbedding,1.3,True
-2.1640285438846343,1.00871240610799,8560.258004499,MetricSpaceEmbedding,1.3,True
-2.2990251742570016,0.9683384309811928,8206.292543833,MetricSpaceEmbedding,1.3,True
-2.3193413887663215,0.9844977118095851,8206.292543833,MetricSpaceEmbedding,1.3,True
-2.295084876342948,1.018968297454206,7908.792543833,MetricSpaceEmbedding,1.3,True
-2.2223937851908024,0.8347785053348209,5310.518612666,MetricSpaceEmbedding,1.3,True
-2.356813854185956,1.055664102234084,5930.351459833,MetricSpaceEmbedding,1.3,True
-2.2488744877560047,0.9547466410644204,8206.292543833,MetricSpaceEmbedding,1.3,True
-2.3304498925432338,1.0403850262194585,8305.4592105,MetricSpaceEmbedding,1.3,True
-2.3890362643325402,0.9555229060543347,5826.940406,MetricSpaceEmbedding,1.3,True
-2.409028308634331,0.9717415166932667,9549.141678,MetricSpaceEmbedding,1.3,True
-2.27491525006352,1.002743134395485,5513.096333166,MetricSpaceEmbedding,1.3,True
-2.400603827074944,1.070034845113367,8305.4592105,MetricSpaceEmbedding,1.3,True
-2.205637533909043,0.9399577218077239,5831.184793166,MetricSpaceEmbedding,1.3,True
-2.289477705894584,1.1088022163490303,7908.091032333,MetricSpaceEmbedding,1.3,True
