mapping,random_seed,platform.processor_1.type,passed,type,design_centering.perturbation.perturbation_type,threshold,trace,platform,kpn,representation,log_level,platform.name,platform.processor_0.type
"[22, 77, 21, 80, 20, 36, 6, 13, 45, 6]",8,ARM_CORTEX_A15,30.0,rand,representation,12153ms,slx_default,mppa_coolidge,hog,MetricSpaceEmbedding,ERROR,exynos,ARM_CORTEX_A7
"[68, 4, 64, 84, 11, 0, 27, 51, 1, 1]",1,ARM_CORTEX_A15,50.0,center,classic,14925ms,slx_default,mppa_coolidge,hog,MetricSpaceEmbedding,ERROR,exynos,ARM_CORTEX_A7
"[70, 35, 83, 41, 55, 31, 18, 36, 42, 84]",1,ARM_CORTEX_A15,100.0,rand,classic,14925ms,slx_default,mppa_coolidge,hog,MetricSpaceEmbedding,ERROR,exynos,ARM_CORTEX_A7
"[6, 60, 70, 58, 19, 41, 23, 1, 14, 6]",1,ARM_CORTEX_A15,80.0,rand,classic,14925ms,slx_default,mppa_coolidge,hog,MetricSpaceEmbedding,ERROR,exynos,ARM_CORTEX_A7
"[65, 70, 69, 39, 24, 19, 28, 69, 55, 6]",1,ARM_CORTEX_A15,50.0,rand,classic,14925ms,slx_default,mppa_coolidge,hog,MetricSpaceEmbedding,ERROR,exynos,ARM_CORTEX_A7
"[35, 30, 52, 74, 1, 60, 58, 59, 54, 63]",1,ARM_CORTEX_A15,100.0,rand,classic,14925ms,slx_default,mppa_coolidge,hog,MetricSpaceEmbedding,ERROR,exynos,ARM_CORTEX_A7
"[32, 45, 82, 56, 6, 61, 1, 62, 60, 49]",1,ARM_CORTEX_A15,80.0,rand,classic,14925ms,slx_default,mppa_coolidge,hog,MetricSpaceEmbedding,ERROR,exynos,ARM_CORTEX_A7
"[29, 82, 7, 68, 74, 3, 13, 0, 83, 37]",1,ARM_CORTEX_A15,80.0,rand,classic,14925ms,slx_default,mppa_coolidge,hog,MetricSpaceEmbedding,ERROR,exynos,ARM_CORTEX_A7
"[19, 28, 42, 37, 83, 2, 78, 35, 60, 8]",1,ARM_CORTEX_A15,100.0,rand,classic,14925ms,slx_default,mppa_coolidge,hog,MetricSpaceEmbedding,ERROR,exynos,ARM_CORTEX_A7
"[27, 54, 16, 20, 42, 83, 23, 13, 29, 52]",1,ARM_CORTEX_A15,60.0,rand,classic,14925ms,slx_default,mppa_coolidge,hog,MetricSpaceEmbedding,ERROR,exynos,ARM_CORTEX_A7
"[25, 68, 34, 5, 65, 1, 22, 27, 80, 51]",1,ARM_CORTEX_A15,100.0,rand,classic,14925ms,slx_default,mppa_coolidge,hog,MetricSpaceEmbedding,ERROR,exynos,ARM_CORTEX_A7
"[76, 65, 31, 28, 75, 71, 16, 20, 66, 65]",1,ARM_CORTEX_A15,90.0,rand,classic,14925ms,slx_default,mppa_coolidge,hog,MetricSpaceEmbedding,ERROR,exynos,ARM_CORTEX_A7
"[6, 30, 75, 69, 83, 15, 2, 11, 55, 81]",5,ARM_CORTEX_A15,20.0,center,representation,12153ms,slx_default,mppa_coolidge,hog,MetricSpaceEmbedding,ERROR,exynos,ARM_CORTEX_A7
"[23, 19, 0, 6, 21, 31, 44, 7, 4, 16]",5,ARM_CORTEX_A15,10.0,rand,representation,12153ms,slx_default,mppa_coolidge,hog,MetricSpaceEmbedding,ERROR,exynos,ARM_CORTEX_A7
"[48, 77, 15, 14, 57, 6, 3, 59, 4, 11]",5,ARM_CORTEX_A15,0.0,rand,representation,12153ms,slx_default,mppa_coolidge,hog,MetricSpaceEmbedding,ERROR,exynos,ARM_CORTEX_A7
"[75, 41, 24, 14, 53, 77, 83, 75, 26, 20]",5,ARM_CORTEX_A15,40.0,rand,representation,12153ms,slx_default,mppa_coolidge,hog,MetricSpaceEmbedding,ERROR,exynos,ARM_CORTEX_A7
"[23, 68, 21, 26, 10, 38, 7, 62, 32, 5]",5,ARM_CORTEX_A15,30.0,rand,representation,12153ms,slx_default,mppa_coolidge,hog,MetricSpaceEmbedding,ERROR,exynos,ARM_CORTEX_A7
"[38, 17, 70, 26, 58, 13, 38, 73, 65, 55]",5,ARM_CORTEX_A15,10.0,rand,representation,12153ms,slx_default,mppa_coolidge,hog,MetricSpaceEmbedding,ERROR,exynos,ARM_CORTEX_A7
"[70, 15, 29, 55, 28, 39, 38, 60, 78, 2]",5,ARM_CORTEX_A15,40.0,rand,representation,12153ms,slx_default,mppa_coolidge,hog,MetricSpaceEmbedding,ERROR,exynos,ARM_CORTEX_A7
"[80, 28, 19, 16, 18, 65, 83, 67, 25, 59]",5,ARM_CORTEX_A15,30.0,rand,representation,12153ms,slx_default,mppa_coolidge,hog,MetricSpaceEmbedding,ERROR,exynos,ARM_CORTEX_A7
"[75, 3, 38, 10, 49, 12, 33, 36, 17, 81]",5,ARM_CORTEX_A15,30.0,rand,representation,12153ms,slx_default,mppa_coolidge,hog,MetricSpaceEmbedding,ERROR,exynos,ARM_CORTEX_A7
"[83, 52, 58, 45, 26, 84, 56, 84, 75, 45]",5,ARM_CORTEX_A15,70.0,rand,representation,12153ms,slx_default,mppa_coolidge,hog,MetricSpaceEmbedding,ERROR,exynos,ARM_CORTEX_A7
"[8, 51, 32, 39, 75, 79, 81, 82, 69, 19]",5,ARM_CORTEX_A15,20.0,rand,representation,12153ms,slx_default,mppa_coolidge,hog,MetricSpaceEmbedding,ERROR,exynos,ARM_CORTEX_A7
"[22, 3, 56, 72, 2, 21, 19, 72, 40, 13]",3,ARM_CORTEX_A15,40.0,center,classic,14925ms,slx_default,mppa_coolidge,hog,SimpleVector,ERROR,exynos,ARM_CORTEX_A7
"[25, 6, 74, 29, 28, 77, 24, 79, 14, 10]",3,ARM_CORTEX_A15,50.0,rand,classic,14925ms,slx_default,mppa_coolidge,hog,SimpleVector,ERROR,exynos,ARM_CORTEX_A7
"[54, 45, 4, 30, 55, 77, 39, 63, 43, 0]",3,ARM_CORTEX_A15,90.0,rand,classic,14925ms,slx_default,mppa_coolidge,hog,SimpleVector,ERROR,exynos,ARM_CORTEX_A7
"[23, 51, 26, 18, 24, 2, 51, 17, 21, 67]",3,ARM_CORTEX_A15,10.0,rand,classic,14925ms,slx_default,mppa_coolidge,hog,SimpleVector,ERROR,exynos,ARM_CORTEX_A7
"[20, 68, 41, 17, 4, 26, 55, 40, 52, 29]",3,ARM_CORTEX_A15,100.0,rand,classic,14925ms,slx_default,mppa_coolidge,hog,SimpleVector,ERROR,exynos,ARM_CORTEX_A7
"[40, 17, 45, 35, 36, 40, 4, 29, 78, 37]",3,ARM_CORTEX_A15,100.0,rand,classic,14925ms,slx_default,mppa_coolidge,hog,SimpleVector,ERROR,exynos,ARM_CORTEX_A7
"[27, 44, 9, 82, 66, 44, 30, 10, 41, 38]",3,ARM_CORTEX_A15,100.0,rand,classic,14925ms,slx_default,mppa_coolidge,hog,SimpleVector,ERROR,exynos,ARM_CORTEX_A7
"[3, 14, 76, 35, 62, 34, 80, 11, 11, 21]",3,ARM_CORTEX_A15,100.0,rand,classic,14925ms,slx_default,mppa_coolidge,hog,SimpleVector,ERROR,exynos,ARM_CORTEX_A7
"[61, 40, 50, 16, 52, 29, 67, 80, 8, 34]",3,ARM_CORTEX_A15,100.0,rand,classic,14925ms,slx_default,mppa_coolidge,hog,SimpleVector,ERROR,exynos,ARM_CORTEX_A7
"[59, 35, 4, 25, 13, 52, 26, 36, 20, 5]",3,ARM_CORTEX_A15,50.0,rand,classic,14925ms,slx_default,mppa_coolidge,hog,SimpleVector,ERROR,exynos,ARM_CORTEX_A7
"[2, 49, 51, 70, 46, 29, 44, 64, 5, 52]",3,ARM_CORTEX_A15,100.0,rand,classic,14925ms,slx_default,mppa_coolidge,hog,SimpleVector,ERROR,exynos,ARM_CORTEX_A7
"[45, 18, 79, 19, 60, 54, 76, 38, 36, 78]",7,ARM_CORTEX_A15,90.0,center,representation,14925ms,slx_default,mppa_coolidge,hog,MetricSpaceEmbedding,ERROR,exynos,ARM_CORTEX_A7
"[19, 69, 63, 52, 54, 34, 30, 36, 54, 28]",7,ARM_CORTEX_A15,70.0,rand,representation,14925ms,slx_default,mppa_coolidge,hog,MetricSpaceEmbedding,ERROR,exynos,ARM_CORTEX_A7
"[43, 18, 23, 17, 74, 84, 57, 62, 32, 12]",7,ARM_CORTEX_A15,80.0,rand,representation,14925ms,slx_default,mppa_coolidge,hog,MetricSpaceEmbedding,ERROR,exynos,ARM_CORTEX_A7
"[53, 21, 42, 83, 78, 67, 12, 72, 44, 10]",7,ARM_CORTEX_A15,90.0,rand,representation,14925ms,slx_default,mppa_coolidge,hog,MetricSpaceEmbedding,ERROR,exynos,ARM_CORTEX_A7
"[27, 20, 39, 10, 34, 51, 17, 32, 81, 84]",7,ARM_CORTEX_A15,90.0,rand,representation,14925ms,slx_default,mppa_coolidge,hog,MetricSpaceEmbedding,ERROR,exynos,ARM_CORTEX_A7
"[13, 36, 9, 68, 29, 33, 16, 75, 43, 73]",7,ARM_CORTEX_A15,70.0,rand,representation,14925ms,slx_default,mppa_coolidge,hog,MetricSpaceEmbedding,ERROR,exynos,ARM_CORTEX_A7
"[60, 38, 20, 46, 38, 65, 46, 42, 79, 62]",7,ARM_CORTEX_A15,60.0,rand,representation,14925ms,slx_default,mppa_coolidge,hog,MetricSpaceEmbedding,ERROR,exynos,ARM_CORTEX_A7
"[82, 38, 8, 82, 0, 81, 52, 29, 5, 73]",7,ARM_CORTEX_A15,70.0,rand,representation,14925ms,slx_default,mppa_coolidge,hog,MetricSpaceEmbedding,ERROR,exynos,ARM_CORTEX_A7
"[49, 35, 40, 45, 18, 82, 36, 77, 2, 62]",7,ARM_CORTEX_A15,50.0,rand,representation,14925ms,slx_default,mppa_coolidge,hog,MetricSpaceEmbedding,ERROR,exynos,ARM_CORTEX_A7
"[59, 47, 31, 64, 21, 0, 28, 60, 45, 8]",7,ARM_CORTEX_A15,70.0,rand,representation,14925ms,slx_default,mppa_coolidge,hog,MetricSpaceEmbedding,ERROR,exynos,ARM_CORTEX_A7
"[9, 8, 19, 30, 10, 1, 56, 1, 6, 4]",7,ARM_CORTEX_A15,80.0,rand,representation,14925ms,slx_default,mppa_coolidge,hog,MetricSpaceEmbedding,ERROR,exynos,ARM_CORTEX_A7
"[16, 40, 44, 17, 69, 78, 0, 41, 83, 27]",9,ARM_CORTEX_A15,100.0,center,classic,14925ms,slx_default,mppa_coolidge,hog,MetricSpaceEmbedding,ERROR,exynos,ARM_CORTEX_A7
"[77, 31, 80, 34, 44, 24, 1, 10, 48, 26]",9,ARM_CORTEX_A15,70.0,rand,classic,14925ms,slx_default,mppa_coolidge,hog,MetricSpaceEmbedding,ERROR,exynos,ARM_CORTEX_A7
"[50, 23, 43, 20, 16, 65, 30, 77, 1, 65]",9,ARM_CORTEX_A15,30.0,rand,classic,14925ms,slx_default,mppa_coolidge,hog,MetricSpaceEmbedding,ERROR,exynos,ARM_CORTEX_A7
"[59, 50, 48, 15, 42, 27, 55, 41, 5, 50]",9,ARM_CORTEX_A15,80.0,rand,classic,14925ms,slx_default,mppa_coolidge,hog,MetricSpaceEmbedding,ERROR,exynos,ARM_CORTEX_A7
"[14, 44, 80, 82, 60, 0, 1, 63, 16, 51]",9,ARM_CORTEX_A15,50.0,rand,classic,14925ms,slx_default,mppa_coolidge,hog,MetricSpaceEmbedding,ERROR,exynos,ARM_CORTEX_A7
"[7, 56, 59, 83, 71, 32, 20, 84, 68, 6]",9,ARM_CORTEX_A15,100.0,rand,classic,14925ms,slx_default,mppa_coolidge,hog,MetricSpaceEmbedding,ERROR,exynos,ARM_CORTEX_A7
"[5, 68, 60, 31, 72, 51, 17, 26, 12, 3]",9,ARM_CORTEX_A15,90.0,rand,classic,14925ms,slx_default,mppa_coolidge,hog,MetricSpaceEmbedding,ERROR,exynos,ARM_CORTEX_A7
"[59, 77, 33, 53, 3, 2, 73, 20, 7, 50]",9,ARM_CORTEX_A15,90.0,rand,classic,14925ms,slx_default,mppa_coolidge,hog,MetricSpaceEmbedding,ERROR,exynos,ARM_CORTEX_A7
"[64, 34, 81, 54, 14, 7, 0, 77, 24, 1]",9,ARM_CORTEX_A15,90.0,rand,classic,14925ms,slx_default,mppa_coolidge,hog,MetricSpaceEmbedding,ERROR,exynos,ARM_CORTEX_A7
"[21, 4, 50, 54, 75, 49, 35, 6, 64, 70]",9,ARM_CORTEX_A15,20.0,rand,classic,14925ms,slx_default,mppa_coolidge,hog,MetricSpaceEmbedding,ERROR,exynos,ARM_CORTEX_A7
"[82, 56, 84, 55, 19, 64, 48, 63, 21, 20]",9,ARM_CORTEX_A15,100.0,rand,classic,14925ms,slx_default,mppa_coolidge,hog,MetricSpaceEmbedding,ERROR,exynos,ARM_CORTEX_A7
"[38, 65, 70, 82, 78, 53, 75, 47, 49, 71]",2,ARM_CORTEX_A15,10.0,center,representation,12153ms,slx_default,mppa_coolidge,hog,MetricSpaceEmbedding,ERROR,exynos,ARM_CORTEX_A7
