"","X","platform","representation.target_distortion","representation.extra_dimensions","representation","rel_distance","rel_runtime"
"220",220,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.72237917849441,1.45751927200029
"221",221,"exynos",1.001,FALSE,"MetricSpaceEmbedding",4.55497022602201,1.95988311602266
"222",222,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.71231239050745,1.01486433172435
"223",223,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.23461238914758,1.04217439731065
"224",224,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.23445543158758,1.17387103807608
"225",225,"exynos",1.001,FALSE,"MetricSpaceEmbedding",4.16261765719914,1.17400280805511
"226",226,"exynos",1.001,FALSE,"MetricSpaceEmbedding",4.54937828151612,1.42358084144111
"227",227,"exynos",1.001,FALSE,"MetricSpaceEmbedding",2.64884618612474,1.06783196457438
"228",228,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.72934754738759,2.78309300878866
"229",229,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.2304394048748,1.09786183355712
"230",230,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.73616703866707,1.66826775038826
"231",231,"exynos",1.001,FALSE,"MetricSpaceEmbedding",4.1627396182234,1.12995689200939
"232",232,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.72586499203169,1.14770997296873
"233",233,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.73269084581937,1.2222704750925
"234",234,"exynos",1.001,FALSE,"MetricSpaceEmbedding",4.55211934922498,2.00930118733024
"235",235,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.23445543158758,1.2899495730957
"236",236,"exynos",1.001,FALSE,"MetricSpaceEmbedding",4.15961992720106,1.14838998924762
"237",237,"exynos",1.001,FALSE,"MetricSpaceEmbedding",4.55497022602201,1.00733623693998
"238",238,"exynos",1.001,FALSE,"MetricSpaceEmbedding",4.16261765719914,2.07306805941113
"239",239,"exynos",1.001,FALSE,"MetricSpaceEmbedding",4.16261765719914,1.77176513943985
"240",240,"exynos",1.001,FALSE,"MetricSpaceEmbedding",4.54937828151612,1.95363506729633
"241",241,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.23059655755226,1.16947260345331
"242",242,"exynos",1.001,FALSE,"MetricSpaceEmbedding",4.55781931962046,1.90727394075754
"243",243,"exynos",1.001,FALSE,"MetricSpaceEmbedding",4.16573510324223,2.87803200972682
"244",244,"exynos",1.001,FALSE,"MetricSpaceEmbedding",4.1627396182234,1.13630543312274
"245",245,"exynos",1.001,FALSE,"MetricSpaceEmbedding",2.62974893547187,1.31645665051425
"246",246,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.72934754738759,1.78839256724524
"247",247,"exynos",1.001,FALSE,"MetricSpaceEmbedding",2.65843885191366,1.30276509010917
"248",248,"exynos",1.001,FALSE,"MetricSpaceEmbedding",4.1688502180749,1.31094393230197
"249",249,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.72934754738759,1.92891556436686
"250",250,"exynos",1.001,FALSE,"MetricSpaceEmbedding",4.16261765719914,2.78772468111647
"251",251,"exynos",1.001,FALSE,"MetricSpaceEmbedding",4.15349574781915,1.27385469557871
"252",252,"exynos",1.001,FALSE,"MetricSpaceEmbedding",4.91346706201531,1.99431429873208
"253",253,"exynos",1.001,FALSE,"MetricSpaceEmbedding",4.15961992720106,1.78726846722207
"254",254,"exynos",1.001,FALSE,"MetricSpaceEmbedding",4.55497022602201,1.00042926193473
"255",255,"exynos",1.001,FALSE,"MetricSpaceEmbedding",4.55223087493254,1.01173898628551
"256",256,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.72934754738759,1.38449846640891
"257",257,"exynos",1.001,FALSE,"MetricSpaceEmbedding",4.55211934922498,1.10695672888873
"258",258,"exynos",1.001,FALSE,"MetricSpaceEmbedding",4.15649789467162,1.43609507014649
"259",259,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.22270741862368,1.0816782926461
"260",260,"exynos",1.001,FALSE,"MetricSpaceEmbedding",4.55497022602201,1.0335538815985
"261",261,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.73269084581937,2.07423692141645
"262",262,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.23059655755226,1.09910832279089
"263",263,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.2304394048748,2.01096905659923
"264",264,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.72237917849441,1.01248570627811
"265",265,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.23059655755226,1.61463481668206
"266",266,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.2423159856101,1.97967869396567
"267",267,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.72600124905346,1.85188858465806
"268",268,"exynos",1.001,FALSE,"MetricSpaceEmbedding",2.67285826996849,1.08815086373455
"269",269,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.25031372812839,1.87089406735173
"270",270,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.23445543158758,1.37767626671588
"271",271,"exynos",1.001,FALSE,"MetricSpaceEmbedding",2.64413280613696,1.90852269849289
"272",272,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.72934754738759,1.04286176508599
"273",273,"exynos",1.001,FALSE,"MetricSpaceEmbedding",4.16261765719914,1.96984066773834
"274",274,"exynos",1.001,FALSE,"MetricSpaceEmbedding",4.15349574781915,1.44293063255069
"275",275,"exynos",1.001,FALSE,"MetricSpaceEmbedding",4.15949787470405,1.08618407281644
"276",276,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.73269084581937,1.95879721746188
"277",277,"exynos",1.001,FALSE,"MetricSpaceEmbedding",4.55497022602201,1.90343406744516
"278",278,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.72921141263205,1.04016036025569
"279",279,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.71567101691915,1.34471991897024
"280",280,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.72586499203169,1.03289487801013
"281",281,"exynos",1.001,FALSE,"MetricSpaceEmbedding",4.15349574781915,1.00250770142148
"282",282,"exynos",1.001,FALSE,"MetricSpaceEmbedding",3.72921141263205,2.74564693291412
"283",283,"exynos",1.001,FALSE,"MetricSpaceEmbedding",1.88999620784526,1.2102456862398
