kpn,log_level,platform,mapping,trace,type,design_centering.perturbation.perturbation_type,passed,threshold,representation,random_seed
hog,ERROR,exynos,"[5, 2, 0, 4, 5, 6, 4, 4, 7, 5]",slx_default,center,representation,60.0,884ms,MetricSpaceEmbedding,2
hog,ERROR,exynos,"[6, 4, 7, 4, 1, 1, 7, 6, 5, 2]",slx_default,rand,representation,50.0,884ms,MetricSpaceEmbedding,2
hog,ERROR,exynos,"[6, 2, 1, 7, 4, 6, 4, 3, 3, 7]",slx_default,rand,representation,20.0,884ms,MetricSpaceEmbedding,2
hog,ERROR,exynos,"[1, 6, 3, 3, 0, 1, 6, 0, 0, 7]",slx_default,rand,representation,0.0,884ms,MetricSpaceEmbedding,2
hog,ERROR,exynos,"[3, 5, 4, 0, 3, 6, 5, 7, 2, 7]",slx_default,rand,representation,20.0,884ms,MetricSpaceEmbedding,2
hog,ERROR,exynos,"[2, 1, 0, 5, 7, 2, 3, 4, 7, 7]",slx_default,rand,representation,20.0,884ms,MetricSpaceEmbedding,2
hog,ERROR,exynos,"[2, 6, 5, 7, 3, 0, 3, 3, 4, 5]",slx_default,rand,representation,50.0,884ms,MetricSpaceEmbedding,2
hog,ERROR,exynos,"[7, 0, 1, 4, 7, 1, 3, 4, 7, 3]",slx_default,rand,representation,40.0,884ms,MetricSpaceEmbedding,2
hog,ERROR,exynos,"[5, 1, 4, 4, 7, 7, 7, 3, 7, 1]",slx_default,rand,representation,60.0,884ms,MetricSpaceEmbedding,2
hog,ERROR,exynos,"[7, 0, 0, 3, 6, 3, 3, 4, 3, 3]",slx_default,rand,representation,0.0,884ms,MetricSpaceEmbedding,2
hog,ERROR,exynos,"[5, 2, 1, 3, 4, 1, 0, 7, 0, 6]",slx_default,rand,representation,10.0,884ms,MetricSpaceEmbedding,2
hog,ERROR,exynos,"[5, 0, 4, 4, 6, 1, 5, 6, 4, 2]",slx_default,center,representation,10.0,884ms,SimpleVector,9
hog,ERROR,exynos,"[1, 0, 0, 1, 1, 0, 4, 3, 3, 5]",slx_default,rand,representation,0.0,884ms,SimpleVector,9
hog,ERROR,exynos,"[6, 5, 3, 3, 7, 1, 2, 6, 7, 1]",slx_default,rand,representation,90.0,884ms,SimpleVector,9
hog,ERROR,exynos,"[5, 5, 4, 0, 3, 0, 6, 3, 3, 2]",slx_default,rand,representation,30.0,884ms,SimpleVector,9
hog,ERROR,exynos,"[4, 2, 4, 2, 0, 0, 6, 4, 1, 4]",slx_default,rand,representation,0.0,884ms,SimpleVector,9
hog,ERROR,exynos,"[5, 1, 1, 0, 3, 3, 4, 6, 5, 1]",slx_default,rand,representation,0.0,884ms,SimpleVector,9
hog,ERROR,exynos,"[7, 5, 2, 5, 5, 4, 6, 4, 7, 5]",slx_default,rand,representation,70.0,884ms,SimpleVector,9
hog,ERROR,exynos,"[6, 3, 0, 7, 0, 7, 0, 3, 6, 5]",slx_default,rand,representation,50.0,884ms,SimpleVector,9
hog,ERROR,exynos,"[6, 6, 0, 3, 5, 5, 3, 3, 1, 4]",slx_default,rand,representation,10.0,884ms,SimpleVector,9
hog,ERROR,exynos,"[4, 1, 6, 0, 4, 6, 3, 1, 0, 5]",slx_default,rand,representation,40.0,884ms,SimpleVector,9
hog,ERROR,exynos,"[5, 2, 7, 5, 7, 7, 0, 2, 7, 0]",slx_default,rand,representation,70.0,884ms,SimpleVector,9
hog,ERROR,exynos,"[3, 6, 6, 6, 3, 0, 6, 3, 0, 3]",slx_default,center,representation,80.0,884ms,SimpleVector,2
hog,ERROR,exynos,"[2, 5, 5, 3, 3, 3, 0, 5, 2, 4]",slx_default,rand,representation,30.0,884ms,SimpleVector,2
hog,ERROR,exynos,"[2, 1, 3, 6, 3, 6, 6, 5, 7, 1]",slx_default,rand,representation,30.0,884ms,SimpleVector,2
hog,ERROR,exynos,"[7, 3, 6, 1, 2, 4, 2, 6, 1, 7]",slx_default,rand,representation,0.0,884ms,SimpleVector,2
hog,ERROR,exynos,"[7, 6, 7, 4, 7, 3, 7, 6, 6, 6]",slx_default,rand,representation,50.0,884ms,SimpleVector,2
hog,ERROR,exynos,"[6, 2, 0, 7, 5, 1, 5, 4, 0, 1]",slx_default,rand,representation,20.0,884ms,SimpleVector,2
hog,ERROR,exynos,"[5, 0, 3, 1, 5, 6, 1, 6, 7, 4]",slx_default,rand,representation,70.0,884ms,SimpleVector,2
hog,ERROR,exynos,"[6, 0, 2, 1, 3, 4, 6, 7, 4, 2]",slx_default,rand,representation,0.0,884ms,SimpleVector,2
hog,ERROR,exynos,"[4, 7, 2, 4, 3, 2, 7, 5, 2, 7]",slx_default,rand,representation,40.0,884ms,SimpleVector,2
hog,ERROR,exynos,"[3, 7, 4, 1, 3, 5, 5, 6, 4, 1]",slx_default,rand,representation,30.0,884ms,SimpleVector,2
hog,ERROR,exynos,"[1, 2, 6, 6, 6, 3, 1, 0, 6, 0]",slx_default,rand,representation,60.0,884ms,SimpleVector,2
hog,ERROR,exynos,"[2, 5, 6, 4, 2, 6, 1, 4, 3, 2]",slx_default,center,representation,70.0,1070ms,SimpleVector,8
hog,ERROR,exynos,"[2, 6, 1, 4, 7, 1, 1, 0, 4, 3]",slx_default,rand,representation,90.0,1070ms,SimpleVector,8
hog,ERROR,exynos,"[2, 7, 7, 4, 4, 3, 4, 4, 2, 2]",slx_default,rand,representation,50.0,1070ms,SimpleVector,8
hog,ERROR,exynos,"[3, 1, 6, 2, 3, 3, 5, 2, 6, 7]",slx_default,rand,representation,20.0,1070ms,SimpleVector,8
hog,ERROR,exynos,"[6, 5, 6, 7, 6, 7, 5, 6, 3, 0]",slx_default,rand,representation,70.0,1070ms,SimpleVector,8
hog,ERROR,exynos,"[4, 6, 5, 7, 7, 6, 5, 4, 0, 1]",slx_default,rand,representation,80.0,1070ms,SimpleVector,8
hog,ERROR,exynos,"[4, 2, 4, 4, 4, 4, 0, 2, 7, 5]",slx_default,rand,representation,70.0,1070ms,SimpleVector,8
hog,ERROR,exynos,"[7, 5, 0, 3, 4, 0, 0, 1, 2, 1]",slx_default,rand,representation,30.0,1070ms,SimpleVector,8
hog,ERROR,exynos,"[5, 0, 0, 6, 5, 1, 0, 0, 2, 7]",slx_default,rand,representation,10.0,1070ms,SimpleVector,8
hog,ERROR,exynos,"[0, 6, 1, 6, 2, 2, 7, 6, 6, 4]",slx_default,rand,representation,60.0,1070ms,SimpleVector,8
