tgff,platform,trace,mapper,log_level,kpn,best_mapping_time,representation,estimated_total_time
"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_4}",mppa_coolidge,tgff_reader,gbm,ERROR,tgff_reader,403.334834333,SymmetryEmbedding,601.4988462924957
"{file:consumer-mocsyn.tgff,graph_name:TASK_GRAPH_1}",mppa_coolidge,tgff_reader,static_cfs,ERROR,tgff_reader,13.897099999,Symmetries,0.3599972724914551
"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_0}",exynos,tgff_reader,gbm,ERROR,tgff_reader,0.0084,SymmetryEmbedding,0.2279982566833496
"{file:networking-mocsyn.tgff,graph_name:TASK_GRAPH_3}",exynos,tgff_reader,gbm,ERROR,tgff_reader,6.2961255,SimpleVector,0.18799829483032227
"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_8}",exynos,tgff_reader,static_cfs,ERROR,tgff_reader,0.024569214,SymmetryEmbedding,0.1959984302520752
"{file:consumer-mocsyn.tgff,graph_name:TASK_GRAPH_0}",exynos,tgff_reader,static_cfs,ERROR,tgff_reader,3.525786213,SymmetryEmbedding,0.21199822425842285
"{file:networking-mocsyn.tgff,graph_name:TASK_GRAPH_0}",mppa_coolidge,tgff_reader,gbm,ERROR,tgff_reader,0.0005065,SimpleVector,0.48799610137939453
"{file:auto-indust-mocsyn.tgff,graph_name:TASK_GRAPH_1}",exynos,tgff_reader,gbm,ERROR,tgff_reader,0.008264,SimpleVector,0.17999839782714844
"{file:auto-indust-mocsyn.tgff,graph_name:TASK_GRAPH_0}",mppa_coolidge,tgff_reader,gbm,ERROR,tgff_reader,417.5032285,Symmetries,7.147944688796997
"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_5}",exynos,tgff_reader,static_cfs,ERROR,tgff_reader,0.024569214,SimpleVector,0.15999865531921387
"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_0}",mppa_coolidge,tgff_reader,static_cfs,ERROR,tgff_reader,12.505654999,SymmetryEmbedding,593.2553145885468
"{file:networking-mocsyn.tgff,graph_name:TASK_GRAPH_2}",exynos,tgff_reader,static_cfs,ERROR,tgff_reader,0.040499998,SymmetryEmbedding,0.1999983787536621
"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_5}",exynos,tgff_reader,gbm,ERROR,tgff_reader,0.024642857,SimpleVector,0.1959984302520752
"{file:office-automation-mocsyn.tgff,graph_name:TASK_GRAPH_0}",exynos,tgff_reader,static_cfs,ERROR,tgff_reader,0.254631223,MetricSpaceEmbedding,0.18399858474731445
"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_0}",mppa_coolidge,tgff_reader,gbm,ERROR,tgff_reader,411.2554505,MetricSpaceEmbedding,7.143943548202515
"{file:networking-mocsyn.tgff,graph_name:TASK_GRAPH_0}",exynos,tgff_reader,gbm,ERROR,tgff_reader,0.0015065,SimpleVector,0.17599868774414062
"{file:consumer-mocsyn.tgff,graph_name:TASK_GRAPH_1}",mppa_coolidge,tgff_reader,static_cfs,ERROR,tgff_reader,13.897099999,SymmetryEmbedding,595.9232959747314
"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_7}",mppa_coolidge,tgff_reader,static_cfs,ERROR,tgff_reader,3.349883333,MetricSpaceEmbedding,0.6039955615997314
"{file:office-automation-mocsyn.tgff,graph_name:TASK_GRAPH_0}",mppa_coolidge,tgff_reader,static_cfs,ERROR,tgff_reader,13.510933332,MetricSpaceEmbedding,0.6119952201843262
"{file:networking-mocsyn.tgff,graph_name:TASK_GRAPH_3}",exynos,tgff_reader,gbm,ERROR,tgff_reader,6.2961255,Symmetries,0.1999983787536621
"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_0}",mppa_coolidge,tgff_reader,static_cfs,ERROR,tgff_reader,12.505654999,MetricSpaceEmbedding,0.6039953231811523
"{file:networking-mocsyn.tgff,graph_name:TASK_GRAPH_2}",exynos,tgff_reader,static_cfs,ERROR,tgff_reader,0.040499998,MetricSpaceEmbedding,0.17999863624572754
"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_8}",mppa_coolidge,tgff_reader,gbm,ERROR,tgff_reader,400.0010005,Symmetries,5.779953718185425
"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_3}",mppa_coolidge,tgff_reader,static_cfs,ERROR,tgff_reader,6.674766666,SimpleVector,0.2279982566833496
"{file:auto-indust-mocsyn.tgff,graph_name:TASK_GRAPH_1}",mppa_coolidge,tgff_reader,gbm,ERROR,tgff_reader,408.756951,SymmetryEmbedding,602.0192284584045
"{file:networking-mocsyn.tgff,graph_name:TASK_GRAPH_1}",mppa_coolidge,tgff_reader,gbm,ERROR,tgff_reader,2154.71693,Symmetries,6.775946140289307
"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_5}",mppa_coolidge,tgff_reader,static_cfs,ERROR,tgff_reader,3.349883333,MetricSpaceEmbedding,0.6199946403503418
"{file:consumer-mocsyn.tgff,graph_name:TASK_GRAPH_0}",mppa_coolidge,tgff_reader,static_cfs,ERROR,tgff_reader,20.800933332,SymmetryEmbedding,598.6152210235596
"{file:consumer-mocsyn.tgff,graph_name:TASK_GRAPH_0}",exynos,tgff_reader,static_cfs,ERROR,tgff_reader,3.525786213,MetricSpaceEmbedding,0.18399858474731445
"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_7}",exynos,tgff_reader,static_cfs,ERROR,tgff_reader,0.024569214,SimpleVector,0.15999889373779297
"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_7}",mppa_coolidge,tgff_reader,static_cfs,ERROR,tgff_reader,3.349883333,Symmetries,0.35599732398986816
"{file:networking-mocsyn.tgff,graph_name:TASK_GRAPH_1}",exynos,tgff_reader,gbm,ERROR,tgff_reader,1.318309,MetricSpaceEmbedding,0.21999835968017578
"{file:consumer-mocsyn.tgff,graph_name:TASK_GRAPH_1}",exynos,tgff_reader,gbm,ERROR,tgff_reader,2.0075735,SimpleVector,0.19199848175048828
"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_0}",exynos,tgff_reader,static_cfs,ERROR,tgff_reader,0.008614284,SimpleVector,0.16399884223937988
"{file:networking-mocsyn.tgff,graph_name:TASK_GRAPH_1}",mppa_coolidge,tgff_reader,static_cfs,ERROR,tgff_reader,10.022949999,MetricSpaceEmbedding,0.6199951171875
"{file:auto-indust-mocsyn.tgff,graph_name:TASK_GRAPH_0}",mppa_coolidge,tgff_reader,static_cfs,ERROR,tgff_reader,16.669994165,MetricSpaceEmbedding,0.6079952716827393
"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_6}",exynos,tgff_reader,static_cfs,ERROR,tgff_reader,0.024569214,MetricSpaceEmbedding,0.255997896194458
"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_7}",mppa_coolidge,tgff_reader,static_cfs,ERROR,tgff_reader,3.349883333,SimpleVector,0.2279982566833496
"{file:consumer-mocsyn.tgff,graph_name:TASK_GRAPH_1}",exynos,tgff_reader,gbm,ERROR,tgff_reader,2.0075735,SymmetryEmbedding,0.2279982566833496
"{file:auto-indust-mocsyn.tgff,graph_name:TASK_GRAPH_2}",exynos,tgff_reader,gbm,ERROR,tgff_reader,0.037469,MetricSpaceEmbedding,0.259998083114624
"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_7}",mppa_coolidge,tgff_reader,gbm,ERROR,tgff_reader,400.0010005,SimpleVector,8.027937173843384
"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_1}",exynos,tgff_reader,gbm,ERROR,tgff_reader,0.01621,SimpleVector,0.2519979476928711
"{file:auto-indust-mocsyn.tgff,graph_name:TASK_GRAPH_1}",mppa_coolidge,tgff_reader,gbm,ERROR,tgff_reader,408.756951,Symmetries,6.323949098587036
"{file:networking-mocsyn.tgff,graph_name:TASK_GRAPH_2}",mppa_coolidge,tgff_reader,gbm,ERROR,tgff_reader,3902.348746666,MetricSpaceEmbedding,7.035944700241089
"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_7}",exynos,tgff_reader,gbm,ERROR,tgff_reader,0.024642857,SymmetryEmbedding,0.23999810218811035
"{file:auto-indust-mocsyn.tgff,graph_name:TASK_GRAPH_0}",exynos,tgff_reader,gbm,ERROR,tgff_reader,0.015603,MetricSpaceEmbedding,0.21599817276000977
"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_7}",exynos,tgff_reader,static_cfs,ERROR,tgff_reader,0.024569214,SymmetryEmbedding,0.26799798011779785
"{file:consumer-mocsyn.tgff,graph_name:TASK_GRAPH_1}",mppa_coolidge,tgff_reader,static_cfs,ERROR,tgff_reader,13.897099999,SimpleVector,0.23599815368652344
"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_5}",mppa_coolidge,tgff_reader,gbm,ERROR,tgff_reader,400.0010005,SymmetryEmbedding,598.079402923584
"{file:office-automation-mocsyn.tgff,graph_name:TASK_GRAPH_0}",exynos,tgff_reader,gbm,ERROR,tgff_reader,0.3058135,SymmetryEmbedding,0.2239983081817627
"{file:consumer-mocsyn.tgff,graph_name:TASK_GRAPH_0}",exynos,tgff_reader,gbm,ERROR,tgff_reader,2.022567,Symmetries,0.1959984302520752
"{file:networking-mocsyn.tgff,graph_name:TASK_GRAPH_1}",mppa_coolidge,tgff_reader,gbm,ERROR,tgff_reader,2154.71693,MetricSpaceEmbedding,7.059943914413452
"{file:consumer-mocsyn.tgff,graph_name:TASK_GRAPH_1}",exynos,tgff_reader,gbm,ERROR,tgff_reader,2.0075735,MetricSpaceEmbedding,0.21199846267700195
"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_4}",exynos,tgff_reader,static_cfs,ERROR,tgff_reader,0.031571428,SimpleVector,0.16399884223937988
"{file:networking-mocsyn.tgff,graph_name:TASK_GRAPH_3}",mppa_coolidge,tgff_reader,static_cfs,ERROR,tgff_reader,10.038099999,Symmetries,0.35599732398986816
"{file:networking-mocsyn.tgff,graph_name:TASK_GRAPH_2}",mppa_coolidge,tgff_reader,gbm,ERROR,tgff_reader,3902.348746666,SymmetryEmbedding,603.1752445697784
"{file:networking-mocsyn.tgff,graph_name:TASK_GRAPH_1}",mppa_coolidge,tgff_reader,static_cfs,ERROR,tgff_reader,10.022949999,SimpleVector,0.23199820518493652
"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_1}",mppa_coolidge,tgff_reader,static_cfs,ERROR,tgff_reader,14.206421665,Symmetries,0.359997034072876
"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_8}",exynos,tgff_reader,gbm,ERROR,tgff_reader,0.024642857,MetricSpaceEmbedding,0.29999756813049316
"{file:auto-indust-mocsyn.tgff,graph_name:TASK_GRAPH_0}",exynos,tgff_reader,gbm,ERROR,tgff_reader,0.015603,Symmetries,0.1999983787536621
"{file:auto-indust-mocsyn.tgff,graph_name:TASK_GRAPH_3}",mppa_coolidge,tgff_reader,gbm,ERROR,tgff_reader,410.837533833,Symmetries,6.847940444946289
"{file:networking-mocsyn.tgff,graph_name:TASK_GRAPH_1}",mppa_coolidge,tgff_reader,static_cfs,ERROR,tgff_reader,10.022949999,Symmetries,0.359997034072876
"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_7}",exynos,tgff_reader,gbm,ERROR,tgff_reader,0.024642857,MetricSpaceEmbedding,0.2239983081817627
"{file:auto-indust-mocsyn.tgff,graph_name:TASK_GRAPH_3}",mppa_coolidge,tgff_reader,gbm,ERROR,tgff_reader,410.837533833,MetricSpaceEmbedding,7.1279380321502686
"{file:networking-mocsyn.tgff,graph_name:TASK_GRAPH_1}",exynos,tgff_reader,gbm,ERROR,tgff_reader,1.318309,SymmetryEmbedding,0.21999812126159668
"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_1}",exynos,tgff_reader,gbm,ERROR,tgff_reader,0.01621,MetricSpaceEmbedding,0.21599817276000977
"{file:office-automation-mocsyn.tgff,graph_name:TASK_GRAPH_0}",mppa_coolidge,tgff_reader,static_cfs,ERROR,tgff_reader,13.510933332,SimpleVector,0.23199820518493652
"{file:networking-mocsyn.tgff,graph_name:TASK_GRAPH_0}",exynos,tgff_reader,static_cfs,ERROR,tgff_reader,0.010714286,MetricSpaceEmbedding,0.17999839782714844
"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_3}",mppa_coolidge,tgff_reader,gbm,ERROR,tgff_reader,403.334834333,Symmetries,5.891936779022217
