mapping,log_level,passed,threshold,type,kpn,platform.processor_0.type,random_seed,platform,platform.name,representation,trace,design_centering.perturbation.perturbation_type,platform.processor_1.type
"[59, 73, 58, 18, 9, 3, 53, 14, 48, 2, 75, 34]",ERROR,0.0,50227ms,rand,speaker_recognition,ARM_CORTEX_A7,2,mppa_coolidge,exynos,SimpleVector,slx_default,representation,ARM_CORTEX_A15
"[63, 43, 61, 8, 0, 45, 72, 39, 69, 16, 29, 9]",ERROR,0.0,50227ms,rand,speaker_recognition,ARM_CORTEX_A7,2,mppa_coolidge,exynos,SimpleVector,slx_default,representation,ARM_CORTEX_A15
"[69, 81, 53, 20, 75, 37, 31, 5, 68, 36, 8, 46]",ERROR,0.0,50227ms,rand,speaker_recognition,ARM_CORTEX_A7,2,mppa_coolidge,exynos,SimpleVector,slx_default,representation,ARM_CORTEX_A15
"[29, 69, 46, 63, 28, 3, 16, 7, 49, 27, 41, 60]",ERROR,0.0,50227ms,rand,speaker_recognition,ARM_CORTEX_A7,2,mppa_coolidge,exynos,SimpleVector,slx_default,representation,ARM_CORTEX_A15
"[52, 46, 22, 40, 82, 1, 5, 49, 18, 66, 12, 76]",ERROR,0.0,50227ms,rand,speaker_recognition,ARM_CORTEX_A7,2,mppa_coolidge,exynos,SimpleVector,slx_default,representation,ARM_CORTEX_A15
"[51, 40, 40, 44, 2, 45, 54, 84, 30, 65, 17, 78]",ERROR,50.0,50227ms,rand,speaker_recognition,ARM_CORTEX_A7,2,mppa_coolidge,exynos,SimpleVector,slx_default,representation,ARM_CORTEX_A15
"[23, 63, 72, 60, 54, 28, 50, 76, 18, 23, 38, 47]",ERROR,0.0,50227ms,rand,speaker_recognition,ARM_CORTEX_A7,2,mppa_coolidge,exynos,SimpleVector,slx_default,representation,ARM_CORTEX_A15
"[66, 83, 5, 8, 82, 65, 48, 60, 47, 73, 29, 12]",ERROR,90.0,52987ms,center,speaker_recognition,ARM_CORTEX_A7,8,mppa_coolidge,exynos,SimpleVector,slx_default,representation,ARM_CORTEX_A15
"[16, 0, 66, 40, 37, 27, 38, 42, 81, 41, 39, 36]",ERROR,0.0,52987ms,rand,speaker_recognition,ARM_CORTEX_A7,8,mppa_coolidge,exynos,SimpleVector,slx_default,representation,ARM_CORTEX_A15
"[9, 45, 83, 66, 23, 18, 4, 70, 68, 40, 65, 61]",ERROR,0.0,52987ms,rand,speaker_recognition,ARM_CORTEX_A7,8,mppa_coolidge,exynos,SimpleVector,slx_default,representation,ARM_CORTEX_A15
"[26, 53, 55, 38, 29, 33, 15, 34, 44, 1, 59, 78]",ERROR,0.0,52987ms,rand,speaker_recognition,ARM_CORTEX_A7,8,mppa_coolidge,exynos,SimpleVector,slx_default,representation,ARM_CORTEX_A15
"[64, 12, 30, 30, 80, 24, 52, 64, 31, 8, 64, 80]",ERROR,60.0,52987ms,rand,speaker_recognition,ARM_CORTEX_A7,8,mppa_coolidge,exynos,SimpleVector,slx_default,representation,ARM_CORTEX_A15
"[33, 71, 1, 53, 33, 7, 29, 7, 53, 63, 21, 67]",ERROR,20.0,52987ms,rand,speaker_recognition,ARM_CORTEX_A7,8,mppa_coolidge,exynos,SimpleVector,slx_default,representation,ARM_CORTEX_A15
"[37, 62, 38, 2, 70, 18, 12, 36, 57, 37, 58, 67]",ERROR,0.0,52987ms,rand,speaker_recognition,ARM_CORTEX_A7,8,mppa_coolidge,exynos,SimpleVector,slx_default,representation,ARM_CORTEX_A15
"[29, 1, 75, 38, 34, 9, 24, 7, 59, 35, 57, 44]",ERROR,0.0,52987ms,rand,speaker_recognition,ARM_CORTEX_A7,8,mppa_coolidge,exynos,SimpleVector,slx_default,representation,ARM_CORTEX_A15
"[9, 39, 39, 55, 14, 53, 48, 34, 29, 6, 65, 3]",ERROR,80.0,52987ms,rand,speaker_recognition,ARM_CORTEX_A7,8,mppa_coolidge,exynos,SimpleVector,slx_default,representation,ARM_CORTEX_A15
"[42, 43, 74, 28, 76, 19, 71, 46, 75, 45, 13, 48]",ERROR,40.0,52987ms,rand,speaker_recognition,ARM_CORTEX_A7,8,mppa_coolidge,exynos,SimpleVector,slx_default,representation,ARM_CORTEX_A15
"[78, 44, 80, 68, 0, 64, 1, 34, 46, 77, 59, 17]",ERROR,0.0,52987ms,rand,speaker_recognition,ARM_CORTEX_A7,8,mppa_coolidge,exynos,SimpleVector,slx_default,representation,ARM_CORTEX_A15
"[33, 16, 61, 20, 23, 15, 64, 67, 70, 16, 18, 53]",ERROR,60.0,52987ms,center,speaker_recognition,ARM_CORTEX_A7,8,mppa_coolidge,exynos,MetricSpaceEmbedding,slx_default,classic,ARM_CORTEX_A15
"[31, 84, 4, 82, 40, 2, 62, 53, 29, 5, 83, 52]",ERROR,50.0,52987ms,rand,speaker_recognition,ARM_CORTEX_A7,8,mppa_coolidge,exynos,MetricSpaceEmbedding,slx_default,classic,ARM_CORTEX_A15
"[68, 32, 10, 45, 16, 57, 46, 64, 17, 70, 9, 10]",ERROR,50.0,52987ms,rand,speaker_recognition,ARM_CORTEX_A7,8,mppa_coolidge,exynos,MetricSpaceEmbedding,slx_default,classic,ARM_CORTEX_A15
"[9, 12, 75, 11, 77, 32, 27, 71, 67, 8, 64, 82]",ERROR,50.0,52987ms,rand,speaker_recognition,ARM_CORTEX_A7,8,mppa_coolidge,exynos,MetricSpaceEmbedding,slx_default,classic,ARM_CORTEX_A15
"[5, 70, 8, 36, 68, 18, 2, 9, 23, 69, 55, 74]",ERROR,60.0,52987ms,rand,speaker_recognition,ARM_CORTEX_A7,8,mppa_coolidge,exynos,MetricSpaceEmbedding,slx_default,classic,ARM_CORTEX_A15
"[57, 66, 35, 29, 78, 8, 2, 82, 82, 75, 61, 2]",ERROR,80.0,52987ms,rand,speaker_recognition,ARM_CORTEX_A7,8,mppa_coolidge,exynos,MetricSpaceEmbedding,slx_default,classic,ARM_CORTEX_A15
"[25, 19, 39, 36, 33, 73, 2, 62, 16, 14, 49, 0]",ERROR,70.0,52987ms,rand,speaker_recognition,ARM_CORTEX_A7,8,mppa_coolidge,exynos,MetricSpaceEmbedding,slx_default,classic,ARM_CORTEX_A15
"[73, 31, 11, 62, 14, 27, 49, 83, 4, 53, 38, 42]",ERROR,50.0,52987ms,rand,speaker_recognition,ARM_CORTEX_A7,8,mppa_coolidge,exynos,MetricSpaceEmbedding,slx_default,classic,ARM_CORTEX_A15
"[24, 36, 79, 77, 65, 3, 47, 84, 8, 27, 20, 76]",ERROR,70.0,52987ms,rand,speaker_recognition,ARM_CORTEX_A7,8,mppa_coolidge,exynos,MetricSpaceEmbedding,slx_default,classic,ARM_CORTEX_A15
"[26, 58, 62, 27, 84, 5, 69, 37, 33, 48, 69, 35]",ERROR,40.0,52987ms,rand,speaker_recognition,ARM_CORTEX_A7,8,mppa_coolidge,exynos,MetricSpaceEmbedding,slx_default,classic,ARM_CORTEX_A15
