mapper,trace,kpn.name,processes_in_task,platform,mappings_cached,mapper.random_seed,mapper.record_statistics,log_level,tgff.directory,best_mapping_time,representation.canonical_operations,time_simulating,tgff.file,kpn,representation,time_representation,representation_init_time,mappings_evaluated
simulated_annealing,tgff_reader,TASK_GRAPH_6,,designer_odroid,,5,True,ERROR,../../../tgff/e3s-0.9,,False,,consumer-mocsyn.tgff,tgff_reader,Symmetries,,,
tabu_search,tgff_reader,TASK_GRAPH_2,,designer_odroid,,2,True,ERROR,../../../tgff/e3s-0.9,,True,,consumer-mocsyn.tgff,tgff_reader,Symmetries,,,
random_walk,tgff_reader,TASK_GRAPH_2,6,multi_cluster,0,4,True,ERROR,../../../tgff/e3s-0.9,4050.039755,True,0.4564478359999999,telecom-mocsyn.tgff,tgff_reader,Symmetries,0.03818052499991609,0.0004613976925611496,300
tabu_search,tgff_reader,TASK_GRAPH_6,,multi_cluster,,3,True,ERROR,../../../tgff/e3s-0.9,,True,,office-automation-mocsyn.tgff,tgff_reader,Symmetries,,,
random_walk,tgff_reader,TASK_GRAPH_7,,multi_cluster,,6,True,ERROR,../../../tgff/e3s-0.9,,True,,auto-indust-mocsyn.tgff,tgff_reader,Symmetries,,,
genetic,tgff_reader,TASK_GRAPH_2,6,haec,34,4,True,ERROR,../../../tgff/e3s-0.9,0.160660666,False,0.39362280299246777,telecom-mocsyn.tgff,tgff_reader,Symmetries,0.3966256809871993,0.1810774840414524,234
tabu_search,tgff_reader,TASK_GRAPH_3,,designer_odroid,,10,True,ERROR,../../../tgff/e3s-0.9,,True,,consumer-mocsyn.tgff,tgff_reader,Symmetries,,,
genetic,tgff_reader,TASK_GRAPH_6,,designer_odroid,,2,True,ERROR,../../../tgff/e3s-0.9,,True,,office-automation-mocsyn.tgff,tgff_reader,Symmetries,,,
tabu_search,tgff_reader,TASK_GRAPH_8,,haec,,7,True,ERROR,../../../tgff/e3s-0.9,,True,,auto-indust-mocsyn.tgff,tgff_reader,Symmetries,,,
simulated_annealing,tgff_reader,TASK_GRAPH_3,5,designer_odroid,46,9,True,ERROR,../../../tgff/e3s-0.9,0.006787448,True,0.02882939199844259,auto-indust-mocsyn.tgff,tgff_reader,Symmetries,0.015206645000944263,0.004902560263872147,30
genetic,tgff_reader,TASK_GRAPH_4,,mppa_coolidge,,6,True,ERROR,../../../tgff/e3s-0.9,,True,,networking-mocsyn.tgff,tgff_reader,Symmetries,,,
random_walk,tgff_reader,TASK_GRAPH_6,,designer_odroid,,7,True,ERROR,../../../tgff/e3s-0.9,,False,,networking-mocsyn.tgff,tgff_reader,Symmetries,,,
tabu_search,tgff_reader,TASK_GRAPH_5,,mppa_coolidge,,7,True,ERROR,../../../tgff/e3s-0.9,,False,,auto-indust-mocsyn.tgff,tgff_reader,Symmetries,,,
tabu_search,tgff_reader,TASK_GRAPH_2,,haec,,10,True,ERROR,../../../tgff/e3s-0.9,,False,,consumer-mocsyn.tgff,tgff_reader,Symmetries,,,
tabu_search,tgff_reader,TASK_GRAPH_5,,multi_cluster,,7,True,ERROR,../../../tgff/e3s-0.9,,True,,consumer-mocsyn.tgff,tgff_reader,Symmetries,,,
tabu_search,tgff_reader,TASK_GRAPH_2,,haec,,2,True,ERROR,../../../tgff/e3s-0.9,,True,,office-automation-mocsyn.tgff,tgff_reader,Symmetries,,,
simulated_annealing,tgff_reader,TASK_GRAPH_2,,haec,,3,True,ERROR,../../../tgff/e3s-0.9,,True,,office-automation-mocsyn.tgff,tgff_reader,Symmetries,,,
tabu_search,tgff_reader,TASK_GRAPH_5,,haec,,6,True,ERROR,../../../tgff/e3s-0.9,,True,,office-automation-mocsyn.tgff,tgff_reader,Symmetries,,,
simulated_annealing,tgff_reader,TASK_GRAPH_3,3,haec,485,9,True,ERROR,../../../tgff/e3s-0.9,0.0747667,True,0.20995579296140932,telecom-mocsyn.tgff,tgff_reader,Symmetries,0.34206734006875195,0.18399034813046455,205
genetic,tgff_reader,TASK_GRAPH_2,,haec,,7,True,ERROR,../../../tgff/e3s-0.9,,False,,consumer-mocsyn.tgff,tgff_reader,Symmetries,,,
