random_seed,threshold,passed,design_centering.perturbation.perturbation_type,kpn,trace,mapping,representation,type,log_level,platform
2,40.0ms,30.0,representation,speaker_recognition,slx_default,"[0, 0, 4, 6, 0, 6, 0, 2, 4, 5, 2, 1]",MetricSpaceEmbedding,rand,ERROR,exynos
2,40.0ms,90.0,representation,speaker_recognition,slx_default,"[1, 7, 6, 2, 4, 5, 6, 3, 7, 0, 7, 1]",MetricSpaceEmbedding,rand,ERROR,exynos
2,40.0ms,80.0,representation,speaker_recognition,slx_default,"[1, 5, 7, 3, 6, 4, 6, 6, 4, 6, 7, 7]",MetricSpaceEmbedding,rand,ERROR,exynos
2,40.0ms,40.0,representation,speaker_recognition,slx_default,"[2, 7, 5, 2, 7, 5, 2, 4, 2, 5, 3, 3]",MetricSpaceEmbedding,rand,ERROR,exynos
2,40.0ms,70.0,representation,speaker_recognition,slx_default,"[6, 5, 7, 5, 1, 1, 6, 7, 1, 3, 1, 7]",MetricSpaceEmbedding,rand,ERROR,exynos
2,40.0ms,30.0,representation,speaker_recognition,slx_default,"[1, 2, 4, 5, 0, 1, 4, 6, 5, 1, 3, 3]",MetricSpaceEmbedding,rand,ERROR,exynos
3,34.9ms,20.0,classic,speaker_recognition,slx_default,"[7, 5, 0, 5, 0, 2, 3, 4, 5, 3, 7, 7]",MetricSpaceEmbedding,center,ERROR,exynos
3,34.9ms,20.0,classic,speaker_recognition,slx_default,"[4, 0, 7, 4, 4, 4, 1, 7, 5, 5, 5, 7]",MetricSpaceEmbedding,rand,ERROR,exynos
3,34.9ms,50.0,classic,speaker_recognition,slx_default,"[2, 7, 7, 5, 4, 6, 0, 3, 7, 3, 1, 7]",MetricSpaceEmbedding,rand,ERROR,exynos
3,34.9ms,30.0,classic,speaker_recognition,slx_default,"[7, 4, 7, 6, 4, 2, 1, 1, 3, 5, 0, 6]",MetricSpaceEmbedding,rand,ERROR,exynos
3,34.9ms,20.0,classic,speaker_recognition,slx_default,"[3, 7, 6, 5, 6, 3, 5, 2, 6, 1, 2, 5]",MetricSpaceEmbedding,rand,ERROR,exynos
3,34.9ms,10.0,classic,speaker_recognition,slx_default,"[3, 1, 7, 3, 1, 2, 5, 1, 5, 2, 3, 6]",MetricSpaceEmbedding,rand,ERROR,exynos
3,34.9ms,10.0,classic,speaker_recognition,slx_default,"[1, 4, 3, 5, 1, 6, 4, 3, 2, 7, 5, 2]",MetricSpaceEmbedding,rand,ERROR,exynos
3,34.9ms,30.0,classic,speaker_recognition,slx_default,"[2, 5, 7, 7, 4, 0, 6, 0, 7, 5, 7, 0]",MetricSpaceEmbedding,rand,ERROR,exynos
3,34.9ms,40.0,classic,speaker_recognition,slx_default,"[1, 7, 6, 5, 2, 5, 4, 7, 5, 2, 0, 5]",MetricSpaceEmbedding,rand,ERROR,exynos
3,34.9ms,10.0,classic,speaker_recognition,slx_default,"[2, 7, 0, 7, 6, 0, 7, 1, 2, 7, 3, 3]",MetricSpaceEmbedding,rand,ERROR,exynos
3,34.9ms,10.0,classic,speaker_recognition,slx_default,"[2, 5, 2, 7, 1, 7, 7, 2, 6, 0, 1, 1]",MetricSpaceEmbedding,rand,ERROR,exynos
4,34.9ms,30.0,representation,speaker_recognition,slx_default,"[5, 4, 5, 4, 7, 7, 5, 7, 1, 7, 4, 4]",MetricSpaceEmbedding,center,ERROR,exynos
4,34.9ms,20.0,representation,speaker_recognition,slx_default,"[5, 4, 6, 1, 3, 1, 5, 2, 7, 3, 6, 6]",MetricSpaceEmbedding,rand,ERROR,exynos
4,34.9ms,40.0,representation,speaker_recognition,slx_default,"[0, 6, 6, 6, 0, 6, 4, 3, 2, 2, 7, 5]",MetricSpaceEmbedding,rand,ERROR,exynos
4,34.9ms,60.0,representation,speaker_recognition,slx_default,"[6, 5, 2, 4, 2, 6, 0, 0, 7, 2, 4, 7]",MetricSpaceEmbedding,rand,ERROR,exynos
4,34.9ms,40.0,representation,speaker_recognition,slx_default,"[5, 7, 5, 7, 0, 3, 7, 3, 1, 1, 5, 5]",MetricSpaceEmbedding,rand,ERROR,exynos
4,34.9ms,60.0,representation,speaker_recognition,slx_default,"[3, 4, 5, 4, 7, 5, 5, 5, 6, 6, 5, 6]",MetricSpaceEmbedding,rand,ERROR,exynos
4,34.9ms,40.0,representation,speaker_recognition,slx_default,"[2, 6, 6, 4, 3, 7, 7, 0, 7, 0, 6, 7]",MetricSpaceEmbedding,rand,ERROR,exynos
4,34.9ms,0.0,representation,speaker_recognition,slx_default,"[0, 6, 2, 0, 4, 1, 0, 5, 2, 6, 4, 6]",MetricSpaceEmbedding,rand,ERROR,exynos
4,34.9ms,0.0,representation,speaker_recognition,slx_default,"[4, 1, 0, 3, 1, 3, 4, 0, 5, 2, 3, 6]",MetricSpaceEmbedding,rand,ERROR,exynos
4,34.9ms,10.0,representation,speaker_recognition,slx_default,"[0, 5, 5, 7, 3, 2, 7, 3, 2, 3, 6, 6]",MetricSpaceEmbedding,rand,ERROR,exynos
4,34.9ms,0.0,representation,speaker_recognition,slx_default,"[6, 1, 1, 0, 6, 0, 5, 0, 5, 6, 5, 5]",MetricSpaceEmbedding,rand,ERROR,exynos
9,34.9ms,20.0,classic,speaker_recognition,slx_default,"[6, 5, 5, 5, 7, 1, 5, 6, 5, 2, 5, 4]",SimpleVector,center,ERROR,exynos
9,34.9ms,20.0,classic,speaker_recognition,slx_default,"[3, 7, 0, 1, 4, 5, 1, 1, 1, 6, 6, 7]",SimpleVector,rand,ERROR,exynos
9,34.9ms,40.0,classic,speaker_recognition,slx_default,"[2, 2, 6, 1, 2, 7, 7, 0, 4, 4, 7, 5]",SimpleVector,rand,ERROR,exynos
9,34.9ms,40.0,classic,speaker_recognition,slx_default,"[3, 6, 3, 1, 3, 5, 0, 0, 4, 5, 0, 1]",SimpleVector,rand,ERROR,exynos
9,34.9ms,0.0,classic,speaker_recognition,slx_default,"[0, 0, 6, 3, 3, 5, 0, 1, 3, 0, 1, 5]",SimpleVector,rand,ERROR,exynos
9,34.9ms,20.0,classic,speaker_recognition,slx_default,"[5, 6, 2, 7, 3, 4, 2, 4, 5, 0, 6, 1]",SimpleVector,rand,ERROR,exynos
9,34.9ms,20.0,classic,speaker_recognition,slx_default,"[3, 0, 6, 1, 7, 6, 1, 6, 7, 0, 6, 2]",SimpleVector,rand,ERROR,exynos
