trace,mappings_cached,estimated_total_time,representation_init_time,time_simulating,time_representation,mapper,processes_in_task,tgff,kpn,mappings_evaluated,platform,mapper.random_seed,representation,log_level,best_mapping_time
tgff_reader,29,1.7359848022460938,0.00019537098705768585,0.15354518416851196,0.16178941703401506,gradient_descent,7,"{file:consumer-mocsyn.tgff,graph_name:TASK_GRAPH_0}",tgff_reader,89,mppa_coolidge,7,SimpleVector,ERROR,24.665766664
tgff_reader,135,0.9599926471710205,0.008906161412596703,0.07621326897424296,0.4597635410063958,tabu_search,2,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_7}",tgff_reader,198,exynos,7,MetricSpaceEmbedding,ERROR,0.001649
tgff_reader,0,1.1079919338226318,0.008951181545853615,0.39036738299999985,0.6939226360000248,random_walk,6,"{file:auto-indust-mocsyn.tgff,graph_name:TASK_GRAPH_0}",tgff_reader,300,exynos,2,MetricSpaceEmbedding,ERROR,0.006279949
tgff_reader,0,1.303990125656128,0.0104760080575943,0.02556879100484366,0.09805359100755595,simulated_annealing,4,"{file:networking-mocsyn.tgff,graph_name:TASK_GRAPH_2}",tgff_reader,32,exynos,1,SymmetryEmbedding,ERROR,0.003393929
tgff_reader,0,3.331984043121338,0.009979583323001862,0.4274465090020385,1.0905727570061572,tabu_search,6,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_2}",tgff_reader,351,exynos,3,SymmetryEmbedding,ERROR,0.004357144
tgff_reader,0,7.899941921234131,0.12295367568731308,0.5095501960000001,0.28640735405497253,random_walk,6,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_1}",tgff_reader,300,mppa_coolidge,10,Symmetries,ERROR,429.588438334
tgff_reader,210,3.171976089477539,0.010298391804099083,0.021276670013321564,0.6162864260186325,genetic,2,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_8}",tgff_reader,53,exynos,4,SymmetryEmbedding,ERROR,0.001649
tgff_reader,0,15.383879661560059,0.01042819581925869,0.3944678090128946,0.5904111510071743,simulated_annealing,9,"{file:auto-indust-mocsyn.tgff,graph_name:TASK_GRAPH_2}",tgff_reader,198,exynos,5,SymmetryEmbedding,ERROR,0.059351021
tgff_reader,0,2.059985637664795,0.010157838463783264,0.3617269630010469,0.9522110360001079,tabu_search,6,"{file:auto-indust-mocsyn.tgff,graph_name:TASK_GRAPH_0}",tgff_reader,311,exynos,6,SymmetryEmbedding,ERROR,0.003850001
tgff_reader,78,0.23999810218811035,0.001976611092686653,0.0027147169930685777,0.008600709999882383,gradient_descent,2,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_5}",tgff_reader,8,exynos,4,Symmetries,ERROR,0.001649
tgff_reader,69,50.41162085533142,0.3712052758783102,0.381104578031227,1.5183245819644071,genetic,9,"{file:auto-indust-mocsyn.tgff,graph_name:TASK_GRAPH_2}",tgff_reader,180,mppa_coolidge,3,MetricSpaceEmbedding,ERROR,717.574155998
tgff_reader,3670,7.559930324554443,0.12297459505498409,0.006022902438417077,0.9928348548710346,simulated_annealing,2,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_5}",tgff_reader,8,mppa_coolidge,6,Symmetries,ERROR,3.334333833
tgff_reader,0,27.29581332206726,0.009973116219043732,0.6755617409990009,0.8910672060028446,simulated_annealing,7,"{file:consumer-mocsyn.tgff,graph_name:TASK_GRAPH_0}",tgff_reader,417,exynos,5,MetricSpaceEmbedding,ERROR,3.525607642
