x,y,runtime,representation,representation.target_distortion,representation.extra_dimensions
-5.723123107566571,10.71127037692932,73.05223286,MetricSpaceEmbedding,1.3,True
-6.673452931071886,11.015890756873674,72.995604703,MetricSpaceEmbedding,1.3,True
-7.890701893365069,10.975272976723257,70.356942852,MetricSpaceEmbedding,1.3,True
-5.212199876233725,8.389203316563712,70.299241145,MetricSpaceEmbedding,1.3,True
-8.186377444949864,9.63595897076704,70.298747066,MetricSpaceEmbedding,1.3,True
-9.104711763614715,11.382198129945955,70.350874282,MetricSpaceEmbedding,1.3,True
-5.852327921119545,10.207927610373831,33.920503714,MetricSpaceEmbedding,1.3,True
-6.856915140072714,9.999155539554435,35.577217357,MetricSpaceEmbedding,1.3,True
-7.026883471197348,11.330255087288217,107.2494327,MetricSpaceEmbedding,1.3,True
-7.903541279992069,10.594124369788819,45.898549356,MetricSpaceEmbedding,1.3,True
-5.451907846479527,10.903406076648539,46.423449213,MetricSpaceEmbedding,1.3,True
-5.371706503654965,9.829376234038342,37.003736284,MetricSpaceEmbedding,1.3,True
-7.244481492752358,10.369533897217355,70.360762144,MetricSpaceEmbedding,1.3,True
-6.795046126781103,9.259212505094123,37.221339856,MetricSpaceEmbedding,1.3,True
-7.622814117063013,11.685778764223167,71.427712851,MetricSpaceEmbedding,1.3,True
-6.892661197706335,10.934706565021122,51.2334735,MetricSpaceEmbedding,1.3,True
-9.575262423229288,12.444257748554046,38.720183567,MetricSpaceEmbedding,1.3,True
-7.963631420813305,11.249512474576031,40.842078575,MetricSpaceEmbedding,1.3,True
-6.405076614271424,10.012807394124936,71.429677138,MetricSpaceEmbedding,1.3,True
-7.993910057359041,11.06807390327826,45.285186643,MetricSpaceEmbedding,1.3,True
-5.710319468690462,10.664580786555218,34.387495,MetricSpaceEmbedding,1.3,True
-6.623907695641922,11.067028295062396,71.96154171,MetricSpaceEmbedding,1.3,True
-8.528674137333462,11.611242215893986,41.75838628,MetricSpaceEmbedding,1.3,True
-7.349888291877481,10.046618641518025,38.898452426,MetricSpaceEmbedding,1.3,True
-6.189806238232623,11.25097035380507,37.463472213,MetricSpaceEmbedding,1.3,True
-7.7718012274817125,9.950756513061332,70.300291352,MetricSpaceEmbedding,1.3,True
-7.189766053146234,9.619334560234565,36.868606857,MetricSpaceEmbedding,1.3,True
-5.987882470849556,8.88387145840031,36.926860356,MetricSpaceEmbedding,1.3,True
-9.071196982595266,12.168768675696807,70.350552853,MetricSpaceEmbedding,1.3,True
-6.583019962482246,11.196514412415357,36.881031713,MetricSpaceEmbedding,1.3,True
-6.114397571665396,10.27660357118276,45.220371072,MetricSpaceEmbedding,1.3,True
-6.977915665182937,10.328508717935936,41.141232847,MetricSpaceEmbedding,1.3,True
-8.798535775450349,10.80824723241889,38.711239854,MetricSpaceEmbedding,1.3,True
-8.430831596028911,11.131401976880454,70.297332425,MetricSpaceEmbedding,1.3,True
-7.713569647840527,12.288322426869142,51.85956785,MetricSpaceEmbedding,1.3,True
-9.005194633606918,11.032391387709085,42.630958712,MetricSpaceEmbedding,1.3,True
-8.473251620345359,11.934482687522232,38.026626641,MetricSpaceEmbedding,1.3,True
-7.247041501668385,11.627122504940388,37.004223284,MetricSpaceEmbedding,1.3,True
-5.3636211318892375,10.063426510558088,36.879565429,MetricSpaceEmbedding,1.3,True
-7.606990324183313,10.564762129388164,52.533100357,MetricSpaceEmbedding,1.3,True
-5.875729879159286,10.284270460898886,39.359805145,MetricSpaceEmbedding,1.3,True
-7.911849556614679,10.989388962258055,41.486682214,MetricSpaceEmbedding,1.3,True
-6.527797447914921,11.189039300659084,45.221337784,MetricSpaceEmbedding,1.3,True
-8.47519940694593,11.96458079225519,41.017418147,MetricSpaceEmbedding,1.3,True
-6.3435834082516,9.21878649514073,39.646142354,MetricSpaceEmbedding,1.3,True
-7.015936294602277,11.172493525907198,45.41834714,MetricSpaceEmbedding,1.3,True
-8.17136476374775,9.349212210573107,70.299745145,MetricSpaceEmbedding,1.3,True
-6.6623184534867335,9.688465378386232,70.352674853,MetricSpaceEmbedding,1.3,True
-7.816089067055346,11.38912837184855,109.881848915,MetricSpaceEmbedding,1.3,True
-4.530942382177134,10.70849000718508,70.293276845,MetricSpaceEmbedding,1.3,True
-6.945753728704079,10.336521423377294,37.840152074,MetricSpaceEmbedding,1.3,True
-8.404482870582129,11.279370344164391,75.338592847,MetricSpaceEmbedding,1.3,True
-8.09385751952531,9.510158936331102,38.581992356,MetricSpaceEmbedding,1.3,True
-5.305818818858616,10.75782694046238,41.835656078,MetricSpaceEmbedding,1.3,True
-8.043211730725403,10.852040736000044,41.4825235,MetricSpaceEmbedding,1.3,True
-7.015661401926264,11.552114486716308,70.354832844,MetricSpaceEmbedding,1.3,True
-6.604925763608938,10.312286402900542,46.890571207,MetricSpaceEmbedding,1.3,True
-7.6412628831162515,9.66069529980856,38.475766927,MetricSpaceEmbedding,1.3,True
-5.430107986478191,9.369426499068721,46.423911213,MetricSpaceEmbedding,1.3,True
-5.95288713284553,10.107859055724804,47.230930572,MetricSpaceEmbedding,1.3,True
-6.145159252299765,10.72709404911071,50.827687428,MetricSpaceEmbedding,1.3,True
-6.126202976063129,9.928819204601002,48.853400709,MetricSpaceEmbedding,1.3,True
-7.4977181463305556,9.013308091347492,72.124910925,MetricSpaceEmbedding,1.3,True
-6.029908024036786,10.153936706213761,45.218668356,MetricSpaceEmbedding,1.3,True
-6.075232261355402,8.632836217464165,37.995331068,MetricSpaceEmbedding,1.3,True
-5.255828309530467,11.621581287541055,47.355363213,MetricSpaceEmbedding,1.3,True
-6.699903132427375,11.03666898969315,37.192829858,MetricSpaceEmbedding,1.3,True
-8.203393400950237,10.362657814859082,37.898406073,MetricSpaceEmbedding,1.3,True
-8.612004346316201,10.36629154424792,41.150357704,MetricSpaceEmbedding,1.3,True
-7.811697031012148,11.77931559485378,41.894890349,MetricSpaceEmbedding,1.3,True
-7.936507978085601,11.354902987785831,74.130822129,MetricSpaceEmbedding,1.3,True
-8.929667597939568,10.82477811910232,38.582603642,MetricSpaceEmbedding,1.3,True
-7.120346525464514,9.552412029170046,36.868606857,MetricSpaceEmbedding,1.3,True
-6.060660131218411,9.732354843554761,38.079248856,MetricSpaceEmbedding,1.3,True
-6.535002263503758,10.773750614966172,36.818328786,MetricSpaceEmbedding,1.3,True
-6.3975459846633,10.130147268289926,52.069762357,MetricSpaceEmbedding,1.3,True
-5.785999851257151,8.379280605158188,45.697786572,MetricSpaceEmbedding,1.3,True
-6.030234711808309,11.085228961433529,41.147835697,MetricSpaceEmbedding,1.3,True
-7.396382532244984,11.445887215934547,107.179521057,MetricSpaceEmbedding,1.3,True
-8.985867086248938,10.885003635791469,38.964391774,MetricSpaceEmbedding,1.3,True
-7.3408645162880255,12.84703614024342,44.008984999,MetricSpaceEmbedding,1.3,True
-6.99640112204958,8.939191639489145,38.41071,MetricSpaceEmbedding,1.3,True
-8.170215198965765,10.630211538149073,48.184757569,MetricSpaceEmbedding,1.3,True
-7.575020606946556,10.203031110904995,62.452108856,MetricSpaceEmbedding,1.3,True
-8.003127934311307,10.18522655875006,79.243885278,MetricSpaceEmbedding,1.3,True
-7.932185055341358,8.255062458068336,38.522543143,MetricSpaceEmbedding,1.3,True
-5.957548007682171,9.988497779470183,51.566367146,MetricSpaceEmbedding,1.3,True
-8.03258304204378,10.063188160313212,41.894048206,MetricSpaceEmbedding,1.3,True
-7.517721826966657,10.936649700254977,74.954149998,MetricSpaceEmbedding,1.3,True
-7.864437388434862,10.341185056785834,75.144000273,MetricSpaceEmbedding,1.3,True
-5.78478759163539,8.309012815601648,37.230431072,MetricSpaceEmbedding,1.3,True
-7.385342410416628,10.651266469498221,37.065289426,MetricSpaceEmbedding,1.3,True
-6.8985674128742325,10.025186468564241,71.897125927,MetricSpaceEmbedding,1.3,True
-8.92382865490302,10.799335469210137,106.726702852,MetricSpaceEmbedding,1.3,True
-7.115079269100492,9.346793995026472,46.824458643,MetricSpaceEmbedding,1.3,True
-6.487188334871839,9.475548655559148,40.968482928,MetricSpaceEmbedding,1.3,True
-6.930319588763577,9.664363131578478,45.696384572,MetricSpaceEmbedding,1.3,True
-5.888445890354296,9.003231472192532,37.233613072,MetricSpaceEmbedding,1.3,True
-8.177570184501011,12.074309973446976,48.203902421,MetricSpaceEmbedding,1.3,True
-9.248343860584532,10.555150673821272,73.574079497,MetricSpaceEmbedding,1.3,True
-7.887710324408613,11.172843913557724,44.013811427,MetricSpaceEmbedding,1.3,True
-8.60313121824108,12.261183184405676,39.421179285,MetricSpaceEmbedding,1.3,True
-6.838608257396627,9.905783412660579,45.2855895,MetricSpaceEmbedding,1.3,True
-6.736009115684698,9.060520256866043,70.299241145,MetricSpaceEmbedding,1.3,True
-7.696281110375873,10.583149749727461,36.998666856,MetricSpaceEmbedding,1.3,True
-6.9996327211418095,10.244110850353964,45.288538643,MetricSpaceEmbedding,1.3,True
-7.606903263436455,10.200875126549292,38.581992356,MetricSpaceEmbedding,1.3,True
-7.45894596018279,9.824583165583073,72.127810925,MetricSpaceEmbedding,1.3,True
-9.438347867140868,13.247321487278322,40.831250711,MetricSpaceEmbedding,1.3,True
-8.096400030676486,10.857994542030687,37.061257855,MetricSpaceEmbedding,1.3,True
-8.446619787185957,10.692337431328196,70.360977854,MetricSpaceEmbedding,1.3,True
-6.398475667173506,11.275663612865095,37.03259457,MetricSpaceEmbedding,1.3,True
-6.409827286187304,9.711471070063581,40.554698857,MetricSpaceEmbedding,1.3,True
-7.54467023273015,12.063059985498002,48.267793566,MetricSpaceEmbedding,1.3,True
-7.275416112440939,10.571238084495796,36.8691985,MetricSpaceEmbedding,1.3,True
-6.057632554952008,10.096171423639989,70.284671712,MetricSpaceEmbedding,1.3,True
-7.424623107847483,9.957084976404351,40.618541428,MetricSpaceEmbedding,1.3,True
-9.026595610148817,12.366581836816303,47.787389995,MetricSpaceEmbedding,1.3,True
-6.629707945301696,9.786907236257772,70.360762144,MetricSpaceEmbedding,1.3,True
-7.940326707604296,10.992676010814423,39.535638713,MetricSpaceEmbedding,1.3,True
-6.367617647442297,11.03232439991824,41.859577363,MetricSpaceEmbedding,1.3,True
-6.9982682543767405,9.737952754691227,43.9546065,MetricSpaceEmbedding,1.3,True
