estimated_total_time,mapper.random_seed,tgff,log_level,best_mapping_time,kpn,platform,mapper,trace
2.0439841747283936,2,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_5}",ERROR,0.001649,tgff_reader,exynos,tabu_search,tgff_reader
86.85528326034546,8,"{file:networking-mocsyn.tgff,graph_name:TASK_GRAPH_2}",ERROR,406.668739666,tgff_reader,mppa_coolidge,simulated_annealing,tgff_reader
9.80792498588562,8,"{file:consumer-mocsyn.tgff,graph_name:TASK_GRAPH_1}",ERROR,0.002571429,tgff_reader,exynos,tabu_search,tgff_reader
1.7919859886169434,2,"{file:auto-indust-mocsyn.tgff,graph_name:TASK_GRAPH_1}",ERROR,0.002251,tgff_reader,exynos,simulated_annealing,tgff_reader
9.659918785095215,1,"{file:consumer-mocsyn.tgff,graph_name:TASK_GRAPH_0}",ERROR,5856.634266666,tgff_reader,mppa_coolidge,random_walk,tgff_reader
7.3839404582977295,7,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_3}",ERROR,403.334834333,tgff_reader,mppa_coolidge,tabu_search,tgff_reader
16.591864109039307,8,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_0}",ERROR,606.668322166,tgff_reader,mppa_coolidge,tabu_search,tgff_reader
6.047952890396118,8,"{file:auto-indust-mocsyn.tgff,graph_name:TASK_GRAPH_1}",ERROR,10.006600499,tgff_reader,mppa_coolidge,genetic,tgff_reader
214.09826374053955,2,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_1}",ERROR,410.836038832,tgff_reader,mppa_coolidge,simulated_annealing,tgff_reader
10.947914361953735,1,"{file:auto-indust-mocsyn.tgff,graph_name:TASK_GRAPH_3}",ERROR,0.002773877,tgff_reader,exynos,tabu_search,tgff_reader
13.243892669677734,8,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_3}",ERROR,6.674766666,tgff_reader,mppa_coolidge,simulated_annealing,tgff_reader
94.41922187805176,6,"{file:networking-mocsyn.tgff,graph_name:TASK_GRAPH_3}",ERROR,406.668836166,tgff_reader,mppa_coolidge,simulated_annealing,tgff_reader
4.915960073471069,5,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_7}",ERROR,3.334333833,tgff_reader,mppa_coolidge,tabu_search,tgff_reader
7.35994029045105,1,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_6}",ERROR,3.334333833,tgff_reader,mppa_coolidge,random_walk,tgff_reader
3.2279748916625977,4,"{file:networking-mocsyn.tgff,graph_name:TASK_GRAPH_3}",ERROR,2.099723572,tgff_reader,exynos,random_walk,tgff_reader
99.6191873550415,7,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_0}",ERROR,409.168766666,tgff_reader,mppa_coolidge,simulated_annealing,tgff_reader
7.039942502975464,4,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_4}",ERROR,800.0016,tgff_reader,mppa_coolidge,random_walk,tgff_reader
4.079968452453613,8,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_0}",ERROR,0.002376,tgff_reader,exynos,genetic,tgff_reader
24.343801498413086,9,"{file:consumer-mocsyn.tgff,graph_name:TASK_GRAPH_0}",ERROR,1207.218766666,tgff_reader,mppa_coolidge,tabu_search,tgff_reader
6.023950576782227,3,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_0}",ERROR,12.502050499,tgff_reader,mppa_coolidge,genetic,tgff_reader
7.0119428634643555,3,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_5}",ERROR,3.334383333,tgff_reader,mppa_coolidge,random_walk,tgff_reader
4.035967111587524,2,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_5}",ERROR,400.01655,tgff_reader,mppa_coolidge,simulated_annealing,tgff_reader
3.5919721126556396,7,"{file:networking-mocsyn.tgff,graph_name:TASK_GRAPH_3}",ERROR,0.00237,tgff_reader,exynos,genetic,tgff_reader
10.475918054580688,4,"{file:auto-indust-mocsyn.tgff,graph_name:TASK_GRAPH_3}",ERROR,0.002773877,tgff_reader,exynos,tabu_search,tgff_reader
3.183974266052246,7,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_8}",ERROR,3.334333833,tgff_reader,mppa_coolidge,genetic,tgff_reader
5.643953800201416,2,"{file:telecom-mocsyn.tgff,graph_name:TASK_GRAPH_0}",ERROR,12.502099999,tgff_reader,mppa_coolidge,genetic,tgff_reader
3.6479716300964355,9,"{file:auto-indust-mocsyn.tgff,graph_name:TASK_GRAPH_0}",ERROR,0.004393929,tgff_reader,exynos,random_walk,tgff_reader
