name,principal_component_1
https-api-github-com-repos-nhanloukiala-OpenCL-Benchmark-git-blobs-a0a4f56af74f58595d1dd38e747ca62611ace7b3.cl-A,-0.156557844
https-api-github-com-repos-jenny350026-GPU_CPU_Sync_Optimization_OpenCL-git-blobs-61b365e930cae14daf07d010e1ef34442b570797.cl-A,-0.23062865
https-api-github-com-repos-jrprice-Oclgrind-git-blobs-38c6f527e10b575549cb0d02997a025d19b4852e.cl-A,-0.22671328
https-api-github-com-repos-mpekatsoula-OpenCl-git-blobs-88df8f4bd31e40ee0551a168961f2c65ef5e1fb7.cl-A,-0.096262148
https-api-github-com-repos-freedesktop-unofficial-mirror-beignet-git-blobs-4b008ef128159392273bf72ba8eeab1a241cee32.cl-A,-0.240854454
https-api-github-com-repos-karrenberg-wfvopencl-benchmarks-git-blobs-7f26277de4082945b070ec5d20ed38fc1117eb5c.cl-A,-0.15912684
https-api-github-com-repos-clockfort-amd-app-sdk-fixes-git-blobs-4b64176ef26cc9724890e16a1fd924e1b53d3d9e.cl-B,-0.087301485
https-api-github-com-repos-erwincoumans-bullet3-git-blobs-ded4796d337d9328a84024d4f2cdba4394384e10.cl-E,-0.343241324
https-api-github-com-repos-Twinklebear-OpenCL-OpenGL-Interop-git-blobs-081c3f947f35728d45a7d96a92884d658aa4defc.cl-A,-0.103744392
https-api-github-com-repos-freedesktop-unofficial-mirror-beignet-git-blobs-4b008ef128159392273bf72ba8eeab1a241cee32.cl-F,-0.240854454
https-api-github-com-repos-karrenberg-wfvopencl-git-blobs-a6b8fc1b9f5bed206005515cf96d3bfc46cc9020.cl-A,-0.421780042
https-api-github-com-repos-kkushagra-rodinia-git-blobs-5ca0ddddd1c8d50c157f6c98e16c7b20d5618a38.cl-B,-0.145026441
https-api-github-com-repos-eholk-opencl-stress-git-blobs-8bc84e89bad2317ec8802ad171d38a459d4ec7d0.cl-A,-0.279561915
https-api-github-com-repos-caoyilun-project-git-blobs-6f2fd22d3b65cff221d1975701d80fcfaf768925.cl-A,-0.102660518
https-api-github-com-repos-karrenberg-wfvopencl-benchmarks-git-blobs-591e407eab1830f3dce4c52fe4e64c3b54251ffb.cl-A,-0.115883451
https-api-github-com-repos-aokomoriuta-StudiesOfOpenCL-git-blobs-6bd126e4eab011f27e94ea569814913418bed9cd.cl-A,-0.263716625
https-api-github-com-repos-mikeseven-node-opencl-git-blobs-4a1d127028d78d932adead7ccc6ad7c59c0143c0.cl-A,-0.15912684
https-api-github-com-repos-caoyilun-project-git-blobs-f94c5c30dc816c69caacc0ffd5ff836a08797ea7.cl-A,-0.318791759
https-api-github-com-repos-Pitxyoki-Cheetah-git-blobs-e27d6ea0029f0b81234f4f5ce1868c522991a7f9.cl-A,-0.18596214
https-api-github-com-repos-HSAFoundation-CLOC-git-blobs-64712283698f76c0f7adf9793857b09161d595c2.cl-A,-0.084301648
https-api-github-com-repos-karrenberg-wfvopencl-git-blobs-60fd45605a05f2e4db5985a81fd5b16c8d0cf9ca.cl-A,-0.22671328
https-api-github-com-repos-YusukeSuzuki-opencl-d-git-blobs-a8ad835213bc09bb9b7252187d273e909e618a2f.cl-B,-0.091926652
https-api-github-com-repos-jamad-adventures_in_opencl-git-blobs-49171f9287d3990defecc5737a74ba6074a9b9fa.cl-A,-0.297862713
https-api-github-com-repos-caoyilun-project-git-blobs-24827e6a0e1aaa05422906a771d0d886a08eaf0f.cl-A,-0.148982327
https-api-github-com-repos-OpenCL-GEGL-OpenCL-old-git-blobs-80b91d2ffc3fb99d75df9925ea8467e294f80954.cl-A,-0.047150359
https-api-github-com-repos-amcelroy-OpenCLV-git-blobs-8a9285516aad18dc66b130d8edd22c6b3c0de685.cl-B,0.043106477
https-api-github-com-repos-orangejulius-adventures_in_opencl-git-blobs-495112d03103806387d16e78683a47ed6ba13f7c.cl-A,-0.091052526
https-api-github-com-repos-ddantas-visiongl-git-blobs-47073f5269e669ed3a999e8c11a882b83be3dd3e.cl-A,-0.042875506
https-api-github-com-repos-freedesktop-unofficial-mirror-beignet-git-blobs-7dad02924b641cb71ee8435269df3fa0a30b1ed8.cl-A,-0.119460565
https-api-github-com-repos-freedesktop-unofficial-mirror-beignet-git-blobs-e20a76ff9b95cb3bb529ad8d7a80e1da313886e1.cl-C,-0.102135517
https-api-github-com-repos-mhorga-GEGL-OpenCL-git-blobs-80b91d2ffc3fb99d75df9925ea8467e294f80954.cl-A,-0.056905225
https-api-github-com-repos-jeremyong-opencl_in_action-git-blobs-72a068ac0ab97cd853d0196328b94a51c06cfaca.cl-C,-0.310767577
https-api-github-com-repos-Twinklebear-OpenCL-OpenGL-Interop-git-blobs-e3af5a33ccde35425f70fb8aed53d541c6c9a0a2.cl-A,-0.077416163
https-api-github-com-repos-freedreno-freedreno-git-blobs-ff2efc05188c5f1c9c3472e2f72c9d6409af3404.cl-A,-0.102140598
https-api-github-com-repos-bollig-viennacl-git-blobs-ef6893dcd906a3845e7eff6aa5b96d138381ddd7.cl-A,-0.124230769
https-api-github-com-repos-natashakholgade-adventures_in_opencl-git-blobs-32fd4dd4990879439bbb14c9e27a63b00cc6cdf5.cl-G,-0.413068362
https-api-github-com-repos-bgaster-opencl-book-samples-git-blobs-4db2b8913a24768f749357cd645af20386acea73.cl-A,0.349885818
https-api-github-com-repos-kbitGit-OpenCL_Mandle-git-blobs-d587cd8a7a6b7dedcba0e062cf9a918eaa353064.cl-A,-0.113356337
https-api-github-com-repos-memo-ofxMSAOpenCL-git-blobs-258ff9e98f408bb919774dcb2022c4e004b5098a.cl-C,-0.083584711
https-api-github-com-repos-nbergst-pvcore-git-blobs-642f63f6a2e99e411e3cb2051248398962afcc54.cl-A,-0.316626127
https-api-github-com-repos-caoyilun-project-git-blobs-6bc2e921bcc0d193a051c85a368c56d9fcf50798.cl-A,-0.102186324
https-api-github-com-repos-freedesktop-unofficial-mirror-beignet-git-blobs-e9ffc4b04085489cc9c5824d00886f099b6cfff1.cl-D,-0.102186324
https-api-github-com-repos-kbrafford-adventures_in_opencl-git-blobs-495112d03103806387d16e78683a47ed6ba13f7c.cl-A,-0.273143358
