random_seed,platform.processor_1.type,trace,representation,platform.processor_0.type,threshold,log_level,mapping,design_centering.perturbation.perturbation_type,platform.name,platform,kpn,type,passed
1,ARM_CORTEX_A15,slx_default,MetricSpaceEmbedding,ARM_CORTEX_A7,7909ms,ERROR,"[35, 40, 50, 62, 53, 21, 41, 59]",classic,exynos,mppa_coolidge,audio_filter,rand,60.0
1,ARM_CORTEX_A15,slx_default,MetricSpaceEmbedding,ARM_CORTEX_A7,7909ms,ERROR,"[22, 11, 36, 70, 47, 65, 13, 10]",classic,exynos,mppa_coolidge,audio_filter,rand,70.0
1,ARM_CORTEX_A15,slx_default,MetricSpaceEmbedding,ARM_CORTEX_A7,7909ms,ERROR,"[45, 34, 58, 58, 81, 34, 57, 50]",classic,exynos,mppa_coolidge,audio_filter,rand,70.0
1,ARM_CORTEX_A15,slx_default,MetricSpaceEmbedding,ARM_CORTEX_A7,7909ms,ERROR,"[76, 63, 52, 78, 2, 5, 9, 77]",classic,exynos,mppa_coolidge,audio_filter,rand,60.0
1,ARM_CORTEX_A15,slx_default,MetricSpaceEmbedding,ARM_CORTEX_A7,7909ms,ERROR,"[5, 63, 40, 25, 47, 58, 17, 77]",classic,exynos,mppa_coolidge,audio_filter,rand,70.0
1,ARM_CORTEX_A15,slx_default,MetricSpaceEmbedding,ARM_CORTEX_A7,7909ms,ERROR,"[38, 46, 43, 43, 52, 56, 18, 73]",classic,exynos,mppa_coolidge,audio_filter,rand,50.0
10,ARM_CORTEX_A15,slx_default,MetricSpaceEmbedding,ARM_CORTEX_A7,7909ms,ERROR,"[29, 18, 16, 78, 61, 65, 68, 78]",classic,exynos,mppa_coolidge,audio_filter,center,20.0
10,ARM_CORTEX_A15,slx_default,MetricSpaceEmbedding,ARM_CORTEX_A7,7909ms,ERROR,"[17, 82, 67, 21, 60, 29, 3, 66]",classic,exynos,mppa_coolidge,audio_filter,rand,90.0
10,ARM_CORTEX_A15,slx_default,MetricSpaceEmbedding,ARM_CORTEX_A7,7909ms,ERROR,"[64, 80, 21, 79, 38, 50, 14, 39]",classic,exynos,mppa_coolidge,audio_filter,rand,60.0
10,ARM_CORTEX_A15,slx_default,MetricSpaceEmbedding,ARM_CORTEX_A7,7909ms,ERROR,"[3, 19, 78, 54, 31, 3, 38, 62]",classic,exynos,mppa_coolidge,audio_filter,rand,60.0
10,ARM_CORTEX_A15,slx_default,MetricSpaceEmbedding,ARM_CORTEX_A7,7909ms,ERROR,"[68, 48, 15, 58, 4, 66, 12, 2]",classic,exynos,mppa_coolidge,audio_filter,rand,60.0
10,ARM_CORTEX_A15,slx_default,MetricSpaceEmbedding,ARM_CORTEX_A7,7909ms,ERROR,"[75, 23, 43, 62, 52, 42, 66, 67]",classic,exynos,mppa_coolidge,audio_filter,rand,50.0
10,ARM_CORTEX_A15,slx_default,MetricSpaceEmbedding,ARM_CORTEX_A7,7909ms,ERROR,"[5, 19, 54, 3, 27, 46, 3, 69]",classic,exynos,mppa_coolidge,audio_filter,rand,60.0
10,ARM_CORTEX_A15,slx_default,MetricSpaceEmbedding,ARM_CORTEX_A7,7909ms,ERROR,"[74, 24, 82, 39, 72, 2, 24, 20]",classic,exynos,mppa_coolidge,audio_filter,rand,20.0
10,ARM_CORTEX_A15,slx_default,MetricSpaceEmbedding,ARM_CORTEX_A7,7909ms,ERROR,"[61, 43, 74, 16, 42, 41, 28, 59]",classic,exynos,mppa_coolidge,audio_filter,rand,30.0
10,ARM_CORTEX_A15,slx_default,MetricSpaceEmbedding,ARM_CORTEX_A7,7909ms,ERROR,"[40, 11, 12, 81, 73, 52, 59, 80]",classic,exynos,mppa_coolidge,audio_filter,rand,80.0
10,ARM_CORTEX_A15,slx_default,MetricSpaceEmbedding,ARM_CORTEX_A7,7909ms,ERROR,"[50, 3, 15, 46, 53, 20, 11, 18]",classic,exynos,mppa_coolidge,audio_filter,rand,70.0
9,ARM_CORTEX_A15,slx_default,SimpleVector,ARM_CORTEX_A7,8305ms,ERROR,"[55, 56, 22, 67, 22, 51, 60, 41]",representation,exynos,mppa_coolidge,audio_filter,center,100.0
9,ARM_CORTEX_A15,slx_default,SimpleVector,ARM_CORTEX_A7,8305ms,ERROR,"[52, 39, 82, 49, 54, 74, 77, 57]",representation,exynos,mppa_coolidge,audio_filter,rand,80.0
9,ARM_CORTEX_A15,slx_default,SimpleVector,ARM_CORTEX_A7,8305ms,ERROR,"[53, 47, 13, 74, 61, 0, 71, 35]",representation,exynos,mppa_coolidge,audio_filter,rand,100.0
9,ARM_CORTEX_A15,slx_default,SimpleVector,ARM_CORTEX_A7,8305ms,ERROR,"[52, 84, 7, 65, 19, 20, 58, 71]",representation,exynos,mppa_coolidge,audio_filter,rand,100.0
9,ARM_CORTEX_A15,slx_default,SimpleVector,ARM_CORTEX_A7,8305ms,ERROR,"[46, 32, 82, 47, 69, 26, 20, 13]",representation,exynos,mppa_coolidge,audio_filter,rand,100.0
9,ARM_CORTEX_A15,slx_default,SimpleVector,ARM_CORTEX_A7,8305ms,ERROR,"[29, 15, 48, 11, 5, 61, 57, 8]",representation,exynos,mppa_coolidge,audio_filter,rand,100.0
9,ARM_CORTEX_A15,slx_default,SimpleVector,ARM_CORTEX_A7,8305ms,ERROR,"[61, 70, 24, 26, 69, 10, 4, 1]",representation,exynos,mppa_coolidge,audio_filter,rand,60.0
9,ARM_CORTEX_A15,slx_default,SimpleVector,ARM_CORTEX_A7,8305ms,ERROR,"[2, 0, 30, 16, 74, 83, 59, 10]",representation,exynos,mppa_coolidge,audio_filter,rand,100.0
9,ARM_CORTEX_A15,slx_default,SimpleVector,ARM_CORTEX_A7,8305ms,ERROR,"[73, 0, 56, 56, 33, 22, 40, 52]",representation,exynos,mppa_coolidge,audio_filter,rand,80.0
9,ARM_CORTEX_A15,slx_default,SimpleVector,ARM_CORTEX_A7,8305ms,ERROR,"[67, 83, 53, 82, 39, 59, 68, 35]",representation,exynos,mppa_coolidge,audio_filter,rand,80.0
9,ARM_CORTEX_A15,slx_default,SimpleVector,ARM_CORTEX_A7,8305ms,ERROR,"[72, 34, 34, 2, 51, 58, 76, 25]",representation,exynos,mppa_coolidge,audio_filter,rand,30.0
7,ARM_CORTEX_A15,slx_default,MetricSpaceEmbedding,ARM_CORTEX_A7,7909ms,ERROR,"[81, 61, 27, 71, 77, 76, 82, 21]",representation,exynos,mppa_coolidge,audio_filter,center,80.0
7,ARM_CORTEX_A15,slx_default,MetricSpaceEmbedding,ARM_CORTEX_A7,7909ms,ERROR,"[33, 63, 15, 65, 63, 58, 51, 35]",representation,exynos,mppa_coolidge,audio_filter,rand,50.0
7,ARM_CORTEX_A15,slx_default,MetricSpaceEmbedding,ARM_CORTEX_A7,7909ms,ERROR,"[64, 7, 67, 68, 50, 71, 56, 36]",representation,exynos,mppa_coolidge,audio_filter,rand,50.0
7,ARM_CORTEX_A15,slx_default,MetricSpaceEmbedding,ARM_CORTEX_A7,7909ms,ERROR,"[34, 81, 1, 44, 78, 46, 76, 44]",representation,exynos,mppa_coolidge,audio_filter,rand,50.0
7,ARM_CORTEX_A15,slx_default,MetricSpaceEmbedding,ARM_CORTEX_A7,7909ms,ERROR,"[8, 61, 53, 26, 51, 55, 53, 11]",representation,exynos,mppa_coolidge,audio_filter,rand,60.0
7,ARM_CORTEX_A15,slx_default,MetricSpaceEmbedding,ARM_CORTEX_A7,7909ms,ERROR,"[25, 84, 28, 64, 9, 17, 36, 36]",representation,exynos,mppa_coolidge,audio_filter,rand,90.0
7,ARM_CORTEX_A15,slx_default,MetricSpaceEmbedding,ARM_CORTEX_A7,7909ms,ERROR,"[18, 32, 21, 41, 44, 81, 18, 43]",representation,exynos,mppa_coolidge,audio_filter,rand,60.0
7,ARM_CORTEX_A15,slx_default,MetricSpaceEmbedding,ARM_CORTEX_A7,7909ms,ERROR,"[36, 36, 36, 15, 38, 69, 2, 18]",representation,exynos,mppa_coolidge,audio_filter,rand,60.0
7,ARM_CORTEX_A15,slx_default,MetricSpaceEmbedding,ARM_CORTEX_A7,7909ms,ERROR,"[26, 8, 13, 11, 26, 52, 3, 35]",representation,exynos,mppa_coolidge,audio_filter,rand,60.0
7,ARM_CORTEX_A15,slx_default,MetricSpaceEmbedding,ARM_CORTEX_A7,7909ms,ERROR,"[49, 50, 4, 43, 12, 24, 45, 16]",representation,exynos,mppa_coolidge,audio_filter,rand,40.0
7,ARM_CORTEX_A15,slx_default,MetricSpaceEmbedding,ARM_CORTEX_A7,7909ms,ERROR,"[12, 15, 46, 68, 50, 42, 37, 79]",representation,exynos,mppa_coolidge,audio_filter,rand,50.0
10,ARM_CORTEX_A15,slx_default,MetricSpaceEmbedding,ARM_CORTEX_A7,8305ms,ERROR,"[29, 18, 16, 78, 61, 65, 68, 78]",classic,exynos,mppa_coolidge,audio_filter,center,30.0
10,ARM_CORTEX_A15,slx_default,MetricSpaceEmbedding,ARM_CORTEX_A7,8305ms,ERROR,"[61, 43, 74, 16, 42, 41, 28, 59]",classic,exynos,mppa_coolidge,audio_filter,rand,50.0
10,ARM_CORTEX_A15,slx_default,MetricSpaceEmbedding,ARM_CORTEX_A7,8305ms,ERROR,"[17, 82, 67, 21, 60, 29, 3, 66]",classic,exynos,mppa_coolidge,audio_filter,rand,80.0
10,ARM_CORTEX_A15,slx_default,MetricSpaceEmbedding,ARM_CORTEX_A7,8305ms,ERROR,"[40, 11, 12, 81, 73, 52, 59, 80]",classic,exynos,mppa_coolidge,audio_filter,rand,100.0
10,ARM_CORTEX_A15,slx_default,MetricSpaceEmbedding,ARM_CORTEX_A7,8305ms,ERROR,"[64, 80, 21, 79, 38, 50, 14, 39]",classic,exynos,mppa_coolidge,audio_filter,rand,70.0
10,ARM_CORTEX_A15,slx_default,MetricSpaceEmbedding,ARM_CORTEX_A7,8305ms,ERROR,"[5, 19, 54, 3, 27, 46, 3, 69]",classic,exynos,mppa_coolidge,audio_filter,rand,20.0
10,ARM_CORTEX_A15,slx_default,MetricSpaceEmbedding,ARM_CORTEX_A7,8305ms,ERROR,"[50, 3, 15, 46, 53, 20, 11, 18]",classic,exynos,mppa_coolidge,audio_filter,rand,80.0
10,ARM_CORTEX_A15,slx_default,MetricSpaceEmbedding,ARM_CORTEX_A7,8305ms,ERROR,"[74, 24, 82, 39, 72, 2, 24, 20]",classic,exynos,mppa_coolidge,audio_filter,rand,70.0
