Mode,instance,UserTime,SysTime,WallTime,E_arm,E_mem,E_gpu,E_little,tetris
Dynamic,i1,15.95,0.31,8.50,40.443614,0.648295,0.117824,3.463447,31.528295
Dynamic,i1,15.97,0.33,8.54,40.195342,0.636723,0.117298,3.450823,7.814498
Dynamic,i1,15.99,0.28,8.58,40.573799,0.648821,0.117035,3.506842,30.355953
Dynamic,i1,16.00,0.28,8.46,41.155292,0.651451,0.122558,3.558390,63.658917
Dynamic,i1,16.00,0.31,8.61,40.312640,0.650925,0.117298,3.294601,49.890223
Dynamic,i1,16.10,0.28,8.70,41.642105,0.670387,0.120454,3.570225,7.525375
Dynamic,i1,16.10,0.32,8.73,41.042991,0.663549,0.121243,3.533405,10.550515
Dynamic,i1,16.10,0.32,8.74,41.237348,0.668546,0.121243,3.497900,16.967839
Dynamic,i1,16.12,0.24,8.48,40.215856,0.654607,0.117561,3.461080,35.663355
Dynamic,i1,16.17,0.32,8.78,41.636056,0.668546,0.126240,3.515784,11.838813
Dynamic,i1,16.27,0.38,8.75,41.431968,0.661708,0.120454,3.543925,18.689474
Dynamic,i2,14.67,0.22,7.62,40.383650,0.610949,0.078900,4.892852,19.597224
Dynamic,i2,14.79,0.25,8.12,45.188923,0.606478,0.116772,4.154611,104.656056
Dynamic,i2,14.92,0.30,7.78,43.939147,0.599114,0.104937,4.067558,22.904871
Dynamic,i2,14.96,0.31,8.93,44.025411,0.658026,0.125714,4.048622,46.208745
Dynamic,i2,14.96,0.35,8.38,46.669087,0.641983,0.119139,4.208789,55.330003
Dynamic,i2,15.07,0.32,8.85,41.403564,0.670913,0.121243,3.698306,46.954539
Dynamic,i2,15.14,0.35,9.07,42.229647,0.678540,0.124399,3.881091,28.118689
Dynamic,i2,15.29,0.28,8.68,43.524396,0.654081,0.124925,3.798246,15.670623
Dynamic,i2,15.38,0.32,8.05,40.302909,0.609371,0.113616,3.513943,55.280877
Dynamic,i2,15.39,0.31,7.96,39.069965,0.614368,0.111775,3.465288,36.431688
Dynamic,i2,15.40,0.29,9.36,42.074214,0.709048,0.127818,3.658067,31.300249
Dynamic,i2,15.55,0.24,7.99,40.089353,0.606478,0.110723,3.615724,31.675292
Dynamic,i2,15.55,0.35,8.40,38.955823,0.629885,0.117035,3.381128,32.859633
Dynamic,i2,15.55,0.38,8.66,40.236633,0.652240,0.119665,3.680422,56.263338
Dynamic,i2,15.57,0.35,8.05,38.520032,0.609897,0.117035,3.262515,24.664507
Dynamic,i2,15.59,0.23,8.14,38.462435,0.608319,0.109145,3.464762,17.933720
Dynamic,i2,15.59,0.36,8.77,40.555915,0.668283,0.121243,3.593632,27.166603
Dynamic,i2,15.62,0.29,8.08,38.172346,0.606741,0.115194,3.254099,31.344418
Dynamic,i2,15.63,0.29,8.16,41.480097,0.624888,0.112827,3.559179,24.523293
Dynamic,i2,15.66,0.25,8.06,39.507860,0.604374,0.110460,3.198080,29.856365
Dynamic,i2,15.66,0.35,8.10,38.788818,0.602007,0.110197,3.289078,10.777063
Dynamic,i2,15.69,0.31,8.24,40.347882,0.629885,0.113090,3.385073,45.202234
Dynamic,i2,15.70,0.25,8.05,40.911491,0.602270,0.112038,3.443722,10.916015
Dynamic,i2,15.70,0.29,8.22,40.140638,0.621206,0.113090,3.409006,26.780974
Dynamic,i2,15.71,0.33,8.27,40.194553,0.620154,0.113353,3.380865,25.911512
Dynamic,i2,15.72,0.32,8.07,38.343033,0.608582,0.109934,3.116287,33.440261
Dynamic,i2,15.73,0.27,8.23,39.986783,0.616472,0.113879,3.366137,31.522830
Dynamic,i2,15.73,0.33,8.22,39.213300,0.626992,0.113879,3.322742,13.973033
Dynamic,i2,15.74,0.25,8.11,37.988772,0.614368,0.110197,3.262515,28.350982
Dynamic,i2,15.74,0.26,8.39,38.914006,0.630937,0.117035,3.600470,39.857460
Dynamic,i2,15.74,0.34,8.34,39.988098,0.636723,0.113090,3.525252,39.072001
Dynamic,i2,15.76,0.30,8.24,38.884287,0.626466,0.114142,3.205707,24.058502
Dynamic,i2,15.76,0.32,8.17,39.226713,0.615683,0.113616,3.365348,29.346779
Dynamic,i2,15.77,0.27,8.19,39.268793,0.623047,0.113879,3.376394,10.071303
Dynamic,i2,15.77,0.34,8.45,38.718860,0.644350,0.117561,3.383495,28.967946
Dynamic,i2,15.78,0.28,8.18,39.707740,0.623310,0.114142,3.456609,28.768319
Dynamic,i2,15.79,0.31,8.23,40.129592,0.630148,0.118876,3.456872,13.942406
Dynamic,i2,15.80,0.35,8.38,39.663556,0.627518,0.113353,3.398486,28.746734
Dynamic,i2,15.83,0.32,8.36,39.449474,0.625940,0.113090,3.341941,24.132964
Dynamic,i2,15.83,0.34,8.42,43.941777,0.662497,0.124136,3.894241,21.164489
Dynamic,i2,15.83,0.37,8.52,41.839092,0.649873,0.117561,3.502634,41.916301
